D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\220907_Pyc\NI_1hr_1.d ,1,3.158,3.55,3.819,213.72,1429.2,7.34,4.71,6.84,0.111,,0,0,,,,,0,0,1,0,,,  ,237.0879,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_3.d ,1,3.105,4.11,4.984,956.85,4302.28,100,100,100,0.265,,0,0,,,,,30.38,40.42,5.19,0,,52.93,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,3.74,4.135,4.984,807.81,8730.63,100,100,100,0.211,,0,0,,,,,0,0,0.87,1085.38,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_1.d ,1,3.424,4.122,4.985,999.35,8926.74,100,100,100,0.309,,0,0,,,,,0,0,0.9,1749.78,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_3.d ,1,3.582,4.119,4.641,1292.77,9580.4,100,100,100,0.228,,0,0,,,,,0,0,0.85,1670.39,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,3.368,4.125,4.982,908.09,10240.62,100,100,100,0.303,,0,0,,,,,0,0,0.92,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_1.d ,1,3.634,4.117,4.984,1005.69,10261.46,100,100,100,0.309,,0,0,,,,,0,0,0.56,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_2.d ,1,3.316,4.12,4.578,1916.35,11676.56,100,100,100,0.102,,0,0,,,,,0,0,1.05,3024.13,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_1.d ,1,3.143,4.103,4.794,1680.53,11924.69,100,100,100,0.259,,0,0,,,,,0,0,0.69,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_3.d ,1,3.368,4.114,4.85,1569.57,11962.4,100,100,100,0.264,,0,0,,,,,0,0,0.66,2877.27,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_1.d ,1,3.741,4.108,4.641,2048.47,12082.5,100,100,100,0.213,,0,0,,,,,0,0,0.81,3207.42,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_1.d ,1,3.624,4.09,4.5,3499,12214,100,100,100,0.876,,0,533,0,0,,3499,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_2.d ,1,3.316,4.102,4.609,1951.23,12704.4,100,100,100,0.223,,0,0,,,,,0,0,1.01,3070.94,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_1.d ,1,3.421,4.113,4.598,2169.81,12927.91,100,100,100,0.223,,0,0,,,,,0,0,1.04,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_2.d ,1,3.742,4.107,4.747,2145.84,14052.61,100,100,100,0.225,,0,0,,,,,0,0,0.77,2729.06,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_0.d ,1,3.521,4.178,4.56,971.23,14265.46,100,100,100,0.296,,0,0,,,,,0,0,1.52,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_1.d ,1,3.635,4.117,4.549,2341.3,14347.18,100,100,100,0.264,,0,0,,,,,0,0,1.01,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_3.d ,1,3.316,4.098,4.745,1860.56,14481.37,100,100,100,0.241,,0,0,,,,,0,0,0.89,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_3.d ,1,3.106,4.116,4.641,2168.47,14543.9,100,100,100,0.254,,0,0,,,,,0,0,1.06,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_2.d ,1,3.054,4.117,4.723,2731.82,15593.96,100,100,100,0.225,,0,0,,,,,0,0,1.36,4185.54,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_3.d ,1,3.762,4.115,5.006,3075.65,17820.59,100,100,100,0.248,,0,0,,,,,0,1.31,0.63,4968.19,,61.91,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_1.d ,1,3.314,4.11,4.69,3831.89,18677.06,100,100,100,0.195,,0,0,,,,,0,0,0.87,4275,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_3.d ,1,3.259,4.111,4.794,3756.68,19177.28,100,100,100,0.139,,0,0,,,,,0,0,1.09,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_2.d ,1,3.315,4.107,4.48,3523.38,19243.98,100,100,100,0.226,,0,0,,,,,0,0,1.27,4391.93,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_3.d ,1,3.101,4.109,4.98,4333.68,19324.67,100,100,100,0.209,,294.88,0,,,,,31.38,26.5,0.94,4549.72,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_1.d ,2,3.819,4.115,4.64,4536.21,19478.41,100,100,93.16,0.253,,0,0,,,,,0,0,0.95,4170,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_3.d ,1,3.302,4.11,4.89,3171.04,19969.7,100,100,100,0.254,,0,0,,,,,0,0,0.75,5161.95,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_2.d ,1,3.315,4.112,4.571,4303.59,21406.44,100,100,100,0.249,,0,0,,,,,0,0,1.18,6517.75,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_2.d ,1,3.793,4.117,4.713,4899.32,21944.77,100,100,100,0.187,,0,0,,,,,0,0,0.74,6631.6,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_2.d ,1,3.155,4.109,4.743,4324.71,23442.45,100,100,100,0.219,,0,0,,,,,0,0,0.79,4894.16,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_1.d ,1,3.735,4.113,4.584,4966.06,23744.08,100,100,100,0.241,,0,0,,,,,0,0,0.99,5581.08,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_2.d ,1,3.054,4.119,4.84,5233.15,25811.15,100,100,100,0.135,,0,0,,,,,0,0,0.82,6026.06,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_2.d ,1,3.412,3.905,4.974,4947.56,34014.56,100,100,100,0.227,,0,0,,,,,0,0,1.02,7862.73,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_1.d ,1,3.465,3.901,4.974,5806.16,35238.12,100,100,100,0.235,,0,0,,,,,0,0,0.98,9530.4,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_60_2.d ,1,3.359,3.904,4.974,5617.73,38967.34,100,100,100,0.24,,0,0,,,,,0,0,0.98,10377.07,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_30_1.d ,1,3.568,3.903,4.49,5960.91,39497.33,100,100,100,0.11,,0,0,,,,,0,0,0.97,11793,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_1.d ,1,3.243,3.897,4.922,11264,40900,100,100,100,1.679,,0,0,0,0,,11264,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\empty_120_1.d ,1,3.571,3.904,4.974,6525.55,43759.33,100,100,100,0.112,,0,0,,,,,0,0,0.97,10918.92,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_2.d ,1,3.096,4.166,4.631,8109.1,45413.43,100,100,100,0.135,,0,0,,,,,0,0,1.12,11778.54,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\ser_240_1.d ,1,3.57,3.903,5.025,8471.14,45863.62,100,100,100,0.201,,0,0,,,,,0,0,0.96,14293.45,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_60_1.d ,1,3.101,3.902,4.98,10551.75,46697.08,100,100,100,0.198,,0,0,,,,,72.56,0,0.95,15841.13,,,  ,248.9721,,,,,,,,,,,
