D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,1,3.176,3.602,5.029,11756.15,107266.79,100,100,100,0.152,,0,305.41,,,,,75.03,136.89,0.62,7829.85,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d ,1,3.177,3.602,4.447,4014.84,33653.49,100,100,100,0.14,,0,344.88,,,,,202.97,169.57,0.52,2872.14,,4.54,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d ,1,3.337,3.565,3.93,10554,32369,100,100,100,0.593,,0,0,0,0,,10554,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_1.d ,1,3.175,3.873,4.657,18965.08,204291.24,100,100,100,0.302,,0,0,,,,,102.84,174.91,0.95,45172.7,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_2.d ,1,3.279,3.86,4.536,67042,180434,100,100,100,1.258,,0,785,0,785,,67405,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_3.d ,1,3.172,3.858,4.39,8664.77,108501.44,100,100,100,0.366,,0,0,,,,,196.03,175.81,1.07,31864.19,,9.8,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_1.d ,1,3.177,3.588,5.03,12631.78,142816.1,100,100,100,0.188,,525.26,747.06,,,,,230.09,684.7,0.52,3959.77,,,  ,87.0073,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_2.d ,1,3.177,3.587,4.341,5060.71,51617.54,100,100,100,0.17,,603.5,0,,,,,238.78,236.22,0.69,1823.87,,,  ,87.0073,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_3.d ,1,3.175,3.584,4.445,4288.88,44049.83,100,100,100,0.171,,0,301.31,,,,,280.72,179,0.63,2032.63,,4.85,  ,87.0073,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_1.d ,1,3.174,3.859,4.656,10442.97,123165.08,100,100,100,0.412,,0,0,,,,,292.34,107.03,0.94,37654.91,,11.81,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_2.d ,1,3.174,3.868,5.026,12742.48,144226.5,100,100,100,0.31,,0,356.64,,,,,121.63,144.11,0.92,33537.68,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_3.d ,1,3.187,3.841,4.606,23941.17,215114.36,100,100,100,0.15,,1080.38,0,,,,,157.97,122.69,0.99,57289.23,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_1.d ,1,3.176,3.856,5.029,11817.66,143308.42,100,100,100,0.409,,0,307.45,,,,,93.19,356.66,1.19,45257.21,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_2.d ,1,3.176,3.858,5.029,6990.52,90980.49,100,100,100,0.409,,472.12,0,,,,,172.63,145,0.92,27206.46,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_3.d ,1,3.175,3.875,5.027,9263.51,102776.25,100,100,100,0.447,,0,0,,,,,164.94,103.38,0.98,20789.8,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_2.d ,1,3.11,3.57,4.207,37882,124477,100,100,100,1.097,,0,0,0,0,,37882,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_3.d ,1,3.173,4.028,5.026,695.53,110349.67,100,100,100,2.644,,0,500,,,,,448.59,142.06,20.61,1353.35,,,  ,146.0454,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_1.d ,1,3.18,3.829,4.585,12108.81,107252.49,100,100,100,0.352,,937.76,0,,,,,150.44,120.5,1.08,8090.51,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_2.d ,1,3.175,3.848,4.568,13236.1,156939.61,100,100,100,0.198,,0,0,,,,,105.19,113.85,1.02,49284.96,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_3.d ,1,3.181,3.834,5.038,9466.69,91271.98,100,100,100,0.161,,784.2,0,,,,,193.41,277.9,1.14,0,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_1.d ,1,3.177,3.572,4.308,14189.77,138951.68,100,100,100,0.163,,1277.1,0,,,,,342,191.88,0.81,25312.81,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_2.d ,1,3.176,3.574,4.341,13072.29,117090.19,100,100,100,0.149,,650.76,0,,,,,675.13,219.63,0.82,13973.13,,,  ,248.9697,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_00.d ,1,3.57,4.166,4.483,21591.78,161139.7,100,100,100,0.124,,663.47,1754.02,,,,,658.81,973.28,0.96,26289.57,,35.4,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_01.d ,1,3.568,4.153,4.481,17784.63,155981.09,100,100,100,0.146,,0,838.48,,,,,391.38,885.47,1.05,28584.61,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_02.d ,1,3.573,4.143,4.486,27774.5,143600.41,100,100,100,0.086,,956.76,806.03,,,,,637.13,726.36,0.97,32712.47,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_03.d ,1,3.57,4.176,4.483,10334.41,65222.59,100,100,100,0.105,,795.01,1239.74,,,,,493.06,610.63,0.94,10855.42,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_04.d ,1,3.569,4.152,4.482,20675.63,150949.97,100,100,100,0.122,,0,1482.66,,,,,893.31,977.94,0.91,33635.72,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_05.d ,1,3.57,4.142,4.483,25513.19,128251.17,100,100,100,0.192,,555,1705.98,,,,,712.38,886.35,0.97,32804.21,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_06.d ,1,3.571,4.149,4.484,24941.06,139112.03,100,100,100,0.093,,0,1498.1,,,,,799.19,878.29,0.94,30989.64,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_07.d ,1,3.57,4.149,4.483,28497.59,188635.04,100,100,100,0.11,,0,621.74,,,,,421.13,722.19,0.98,31274.63,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_00.d ,1,3.572,4.16,4.485,18343.24,165948.37,100,100,100,0.151,,493.06,1951.4,,,,,526.38,1209.73,0.97,29434.84,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_01.d ,1,3.573,4.151,4.486,38857.23,220948.38,100,100,100,0.201,,998.22,1150.02,,,,,816,1290.68,0.91,45781.08,,,  ,147.0279,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_02.d ,1,3.576,4.152,4.489,27073.42,147731.25,100,100,100,0.198,,776.82,1203.55,,,,,713.44,1143.77,0.86,32247.42,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_03.d ,1,3.575,4.149,4.488,33399.79,189255.14,100,100,100,0.094,,1169.4,1079.63,,,,,571.81,844.43,0.99,33465.33,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_04.d ,1,3.573,4.154,4.486,20191.05,161780.3,100,100,100,0.134,,0,822.23,,,,,622.06,1124.34,0.98,33684.87,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_05.d ,1,3.576,4.147,4.489,39006.52,194332.9,100,100,100,0.191,,1178.48,1322.27,,,,,612.88,1148.52,0.82,45944.46,,,  ,147.0279,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_06.d ,1,3.574,4.149,4.487,26215.64,145103.24,100,100,100,0.092,,0,701.22,,,,,648.69,741.56,0.97,32351.65,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_07.d ,1,3.576,4.157,4.489,27230.64,169773.11,100,100,100,0.208,,0,1919.07,,,,,587.81,1423.79,0.85,28876.48,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-1.d ,1,2.029,2.492,2.77,28051.85,295759.64,100,100,100,0.208,,0,0,,,,,260.5,0,2.62,31649.37,,84.49,  ,181.0713,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-2.d ,1,2.031,2.494,2.68,25384.7,264852.22,100,100,100,0.206,,0,0,,,,,451,0,2.29,28973.41,,,  ,181.0713,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-3.d ,1,2.032,2.495,2.681,25412.17,221360.83,100,100,95.73,0.139,,1417.01,0,,,,,1425.63,0,2.21,26136.18,,,  ,216.999,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-4.d ,1,2.032,2.502,2.678,26652.28,204016.78,100,100,95.29,0.122,,0,0,,,,,675.5,0,1.87,27911.82,,,  ,216.999,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-5.d ,1,2.036,2.518,2.684,13054.25,100659.88,100,100,100,0.167,,1306.17,0,,,,,815.63,0,1.43,12925.59,,,  ,181.0713,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-1.d ,1,2.032,2.497,2.679,25693.44,195361.51,100,100,100,0.127,,2363.08,0,,,,,1113.25,0,1.83,28038.29,,,  ,181.0713,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-2.d ,1,2.029,2.501,2.875,21923.46,141183.82,100,100,100,0.196,,2216.48,0,,,,,1789.5,131.63,1.81,22912.66,,,  ,181.0713,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-3.d ,1,2.033,2.503,2.68,20181.38,134690.01,100,100,100,0.111,,2875.51,0,,,,,1733.75,0,1.54,21432.48,,,  ,181.0713,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-4.d ,1,2.192,2.687,2.999,1461.65,14226.3,100,100,100,0.216,,0,0,,,,,0,0,1.44,1659.28,,,  ,237.0935,,,,,,,,,,,
F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-5.d ,1,2.032,2.517,2.72,13832.78,101595.87,100,100,100,0.169,,1436.51,0,,,,,1125.25,0,2.14,13542.08,,,  ,216.999,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_1.d ,1,3.185,4.027,5.038,720.39,7939.42,100,100,100,0.265,,0,0,,,,,38.31,55.51,0.65,1537.5,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,3.182,4.023,5.035,632.54,7411.34,100,100,100,0.195,,0,0,,,,,29.63,52.59,0.52,1177.41,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,3.184,4.031,5.037,617.26,7752.57,100,100,100,0.284,,317.56,0,,,,,59.38,16.59,0.49,951.59,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_1.d ,1,3.184,4.02,4.79,876.01,16567.32,100,100,100,0.467,,0,0,,,,,139.84,0,0.28,1303.3,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_2.d ,1,3.184,4.304,4.776,1095.95,26430.9,100,100,100,0.604,,0,0,,,,,25.06,16.28,2.62,2710,,,  ,146.0406,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_3.d ,1,3.184,4.017,5.037,931.06,8853.2,100,100,100,0.304,,0,444.89,,,,,65.72,67.85,0.4,1699.72,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_1.d ,1,3.181,4.295,4.791,1069.78,25294.75,100,100,100,0.394,,0,0,,,,,108,0,2.6,0,,,  ,146.0406,,,,,,,,,,,
