D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\mal_60_2.d ,1,1.85,3.259,4.497,85.23,1118.62,100,100,100,0.415,,0,0,,,,,16.97,60.13,0,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_1.d ,1,1.849,3.095,3.967,192.27,2523.63,100,100,100,0.219,,254.12,0,,,,,68.41,68.41,4.11,0,,0.05,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_1.d ,1,1.851,2.689,4.497,49.58,2536.75,100,100,100,0.853,,0,0,,,,,32.5,67.52,0.57,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_60_2.d ,1,1.851,3.106,4.497,118.41,3630.41,100,100,100,0.511,,0,0,,,,,47.88,50.65,0.62,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_2.d ,1,1.851,3.314,4.497,98.34,4074.12,100,100,100,0.793,,0,0,,,,,22.55,38.92,2.15,437.13,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d ,1,1.853,3.991,4.5,86.34,5497.34,100,100,100,1.061,,0,0,,,,,13.7,42.76,2.12,0,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\empty_120_1.d ,1,1.851,3.22,3.828,197.44,5509.31,100,100,100,0.465,,0,0,,,,,63.42,35.58,0.95,612.11,,0.05,  ,248.963,,,,,,,,,,,
F:\2306\RC\230619\pyr_0_2.d ,1,1.862,3.152,3.979,118.23,5682.96,100,100,100,0.801,,0,0,,,,,34.97,6.17,1.26,0,,0.03,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_120_2.d ,1,1.852,3.305,4.014,87.36,6686.15,100,100,100,1.276,,0,346.54,,,,,44.66,36.41,1.89,0,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_3.d ,1,3.12,3.964,4.497,534.53,10897.29,100,100,100,0.34,,0,0,,,,,14.03,33.84,0.97,0,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\neg_nad_1.d ,1,1.862,3.143,3.979,558.53,13781.26,100,100,100,0.411,,0,0,,,,,15.97,24.5,1.52,0,,0.15,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d ,1,1.853,3.965,4.5,164.44,15614.72,100,100,100,1.583,,0,0,,,,,0,35.01,6.65,0,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_1.d ,1,1.853,3.956,4.5,522.96,19886.03,100,100,100,0.634,,0,0,,,,,24.34,20.31,2.97,0,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_2.d ,1,1.853,3.969,4.5,379.51,22315.52,100,100,100,0.98,,0,0,,,,,0,45.66,3.02,657.22,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\ser_0_1.d ,1,1.862,3.462,4.509,576.42,25330.48,100,100,100,0.732,,0,0,,,,,62.14,97.34,2.45,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_0_2.d ,1,1.861,3.552,4.508,913.1,26359.85,100,100,100,0.481,,472.76,0,,,,,33.45,80.01,1.45,0,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_3.d ,1,1.849,3.973,4.495,689.12,27791.85,100,100,100,0.672,,0,0,,,,,0,7.32,4.65,0,,,  ,146.0454,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,1,1.853,3.959,4.5,176.72,30122.91,100,100,100,2.841,,0,0,,,,,0,34.87,10.63,659.68,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_3.d ,1,1.854,3.989,4.508,564.14,32272.41,100,100,100,0.953,,0,0,,,,,1.48,21.92,6.03,0,,,  ,146.0454,,,,,,,,,,,
