D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\empty_120_1.d ,1,2.089,2.423,2.804,84.87,409.72,100,100,100,0.08,,0,0,,,,,108.69,0,-0.31,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_2.d ,1,2.089,2.449,2.793,175.18,445.03,100,100,100,0.042,,596.56,0,,,,,106.63,0,-0.39,1101.39,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_60_1.d ,1,2.095,2.408,2.726,186.02,1397.49,100,100,100,0.125,,0,0,,,,,32.25,0,0.67,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_60_1.d ,1,2.088,3.183,3.49,180.75,1479.25,100,100,100,0.136,,338.61,0,,,,,102.75,1.63,2.31,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_60_2.d ,1,2.089,2.524,3.492,245.4,2451.45,100,100,100,0.201,,0,0,,,,,1.06,82.16,5.14,282.62,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_30_1.d ,1,2.086,2.422,3.031,493.51,4648.11,100,100,100,0.157,,0,0,,,,,103.75,0,0.46,0,,0.06,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_60_1.d ,1,2.094,2.412,2.78,1004.86,5847.69,100,100,100,0.097,,0,0,,,,,111.56,0,0.63,1708.91,,0.12,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_2.d ,1,2.085,2.413,3.361,1781.76,6963.19,100,100,100,0.121,,0,0,,,,,134.63,0,2.25,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_30_2.d ,1,2.085,2.408,3.488,3178.23,9093.19,100,100,100,0.108,,0,0,,,,,203.75,30.13,1.04,3715.53,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_1.d ,1,2.1,2.747,3.503,1720.61,18966.23,100,100,100,0.298,,521.31,360.01,,,,,308.56,114.13,1,1678.12,,,  ,141.0127,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,2.097,2.747,3.5,1815.53,19252.52,100,100,100,0.257,,0,487.09,,,,,222.19,180.19,3.09,1797.72,,,  ,141.0127,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_1.d ,1,2.099,2.731,3.502,1867.03,26464.86,100,100,100,0.322,,0,361.67,,,,,227.94,88.13,1.43,2521.59,,,  ,141.0127,,,,,,,,,,,
F:\2306\RC\230619\empty_120_2.d ,1,2.091,2.418,3.172,6369.93,26572.28,100,100,100,0.233,,0,0,,,,,118.38,0,0.89,8780.08,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_3.d ,1,2.099,2.743,3.502,2236.1,27963.79,100,100,100,0.294,,0,0,,,,,252.06,167.94,1.95,1820.34,,,  ,141.0127,,,,,,,,,,,
