D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,1,3.812,5.603,6.3,2155.37,57455.95,100,100,100,0.444,,0,0,,,,,0,110.86,1.87,2517.1,,,  ,505.9933,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d ,1,3.918,4.544,6.3,1105.54,25623.47,100,100,100,0.386,,0,0,,,,,0,82.56,0.23,1478.84,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d ,1,3.918,4.545,6.3,971.09,24323.28,100,100,100,0.417,,0,0,,,,,0,20.18,0.24,1248.67,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_1.d ,1,3.81,5.295,6.298,248089.71,1725032.56,100,100,100,0.116,,0,796.78,,,,,0,829.14,1,247434.59,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_2.d ,1,3.703,5.295,6.296,153271.28,1083729.23,100,100,100,0.118,,0,649.79,,,,,0,930.54,0.99,141230.28,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_3.d ,1,3.701,5.293,6.295,193467.36,1375070.37,100,100,100,0.118,,0,979.58,,,,,0,792.3,1,194918.95,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_1.d ,1,3.707,4.462,4.977,7936.18,371886.67,19.54,35.4,16.34,0.128,,0,342.2,,,,,0,304.25,1.08,13950.61,,,  ,403.5533,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_2.d ,1,3.812,5.621,6.3,6069.68,88380.19,100,100,100,0.243,,0,431.18,,,,,0,203.16,1.36,3799.82,,,  ,191.0207,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_3.d ,1,3.916,5.623,6.298,5217.92,78094.07,100,100,100,0.249,,0,0,,,,,0,253.25,1.4,4068.15,,,  ,191.0207,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_1.d ,1,3.703,5.295,6.297,173644.33,1167941.22,100,100,100,0.112,,223,495.65,,,,,23.59,416.39,0.99,331183.03,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_2.d ,1,3.703,5.297,6.297,140398.95,977957.32,100,100,100,0.222,,0,605.05,,,,,0,452.52,0.84,221358.52,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_3.d ,1,3.611,5.304,6.204,330310.71,2213559.48,100,100,100,0.112,,0,925.61,,,,,0.81,826.74,0.99,260851.77,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_1.d ,1,3.705,5.295,6.299,323390.74,2179864.99,100,100,100,0.112,,0,580.21,,,,,0,749.79,0.99,420594.09,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_2.d ,1,3.706,5.299,6.299,106757.42,887443.81,100,100,100,0.139,,0,779.36,,,,,0,724.8,1.3,86784.07,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_3.d ,1,3.704,5.298,6.298,118199.34,910008.38,100,100,100,0.506,,0,521.01,,,,,0,581.48,0.84,110454.71,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_1.d ,1,3.919,5.595,6.301,30823.48,402144.47,100,100,100,0.217,,0,727.66,,,,,0,746.03,1.15,34171.06,,,  ,765.1063,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_2.d ,1,3.917,5.62,6.299,11264.79,170681.76,100,100,100,0.253,,0,584.57,,,,,0,496.38,1.33,9705.86,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_3.d ,1,3.914,4.557,5.076,29821.58,393830.75,100,100,58.83,0.401,,0,405.82,,,,,0,265.02,3.02,34907.78,,,  ,662.0999,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_1.d ,1,3.711,5.303,6.205,146764.9,1101323.5,100,100,100,0.125,,0,1111.45,,,,,0,720.09,1,82618.79,,,  ,765.1063,,,,,,,,,,,
