D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,1,2.277,4.114,4.923,48537.03,983023.16,100,100,100,0.338,,322.33,0,,,,,73.42,0,0.98,85760.23,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d ,1,2.277,4.104,4.923,36695.62,772122.37,100,100,100,0.351,,0,0,,,,,37.39,0,1.01,79716.09,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d ,1,3.124,4.11,4.923,20570.37,405123.29,100,100,100,0.328,,0,0,,,,,11.87,0,0.98,39714.86,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_1.d ,1,2.275,3.976,4.922,800900.16,10757372.47,100,100,100,0.224,,0,0,,,,,355.08,764.18,1.01,1725104.75,,,  ,146.0454,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_2.d ,1,2.274,3.974,4.92,775709.65,10371823.25,100,100,100,0.223,,0,1595.56,,,,,171.58,800.11,1.01,1776442.38,,,  ,146.0454,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_3.d ,1,2.272,3.972,4.919,626081.54,8342897.65,100,100,100,0.222,,0,1300.3,,,,,104.83,701.6,0.99,1633255,,,  ,146.0454,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_1.d ,1,2.278,3.996,4.924,134598.99,1996825.74,100,100,100,0.247,,0,0,,,,,208.77,74.05,0.99,63679.99,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_2.d ,1,3.265,4.035,4.639,155684,553676,100,100,100,1.374,,0,1756,0,1756,,156668,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_3.d ,1,2.275,4.009,4.922,37737.79,635402.72,100,100,100,0.281,,297.33,0,,,,,107.22,28.02,1.01,60321.76,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\neg_1.d ,1,2.274,3.972,4.92,589134.15,7615018.14,100,100,100,0.215,,0,1270.08,,,,,93.75,764.39,1.03,1698283.38,,,  ,146.0454,,,,,,,,,,,
