Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
WP_001307570.1,4.2.1.3,Escherichia coli,R1,Aconitate hydratase,R01324,MRL,C00158,C00311,Km_C00311: 0.339520901; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 5.557925254,C00158;C00001;C00311;C00417,C00417_KI: 0.306959659;C00311_KI: 0.339520901;C00158_KI: 1.662616611;C00001_KI: 2.687092781,Keq: 0.06308443380260503
WP_001307570.1,4.2.1.3,Escherichia coli,R2,Aconitate hydratase,R01325,MRL,C00158,C00001; C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 34.618153544500004,C00158;C00001;C00311;C00417,C00417_KI: 0.306959659;C00311_KI: 0.339520901;C00158_KI: 1.662616611;C00001_KI: 2.687092781,Keq: 0.0327657690064193
WP_001307570.1,4.2.1.3,Escherichia coli,R3,Aconitate hydratase,R01900,MRL,C00311,C00001; C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00311: 0.339520901,Kcat_F: 5.557925254; Kcat_R: 34.618153544500004,C00158;C00001;C00311;C00417,C00417_KI: 0.306959659;C00311_KI: 0.339520901;C00158_KI: 1.662616611;C00001_KI: 2.687092781,Keq: 0.5193954678097826
WP_001181473.1,1.2.4.2,Escherichia coli,R9,Oxoglutarate dehydrogenase (succinyl-transferring),R01700,MRL,C00026; C15972,C00011; C16254,Km_C00011: 0.496151149; Km_C16254: 0.022980487; Km_C00026: 332.91150000000005; Km_C15972: 0.020010605,Kcat_F: 11.612947489; Kcat_R: 3.3130215229999997,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 1
WP_001181473.1,1.2.4.2,Escherichia coli,R10,Oxoglutarate dehydrogenase (succinyl-transferring),R00621,MRL,C00026; C00068,C00011; C05381,Km_C00011: 0.496151149; Km_C05381: 0.018866798; Km_C00026: 332.91150000000005; Km_C00068: 0.021916483,Kcat_F: 11.193305654000001; Kcat_R: 3.7177315589999997,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 22136.51865175139
WP_001181473.1,1.2.4.2,Escherichia coli,R11,Oxoglutarate dehydrogenase (succinyl-transferring),R01933,MRL,C00003; C00010; C00322,C00004; C00011; C00080; C00527,Km_C00004: 0.035209294; Km_C00011: 0.496151149; Km_C00080: 0.608380556; Km_C00527: 0.052975662; Km_C00003: 0.127414092; Km_C00010: 0.066362962; Km_C00322: 0.131888092,Kcat_F: 3.747217959999999; Kcat_R: 3.8586726893333334,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 553075.811271694
WP_001181473.1,1.2.4.2,Escherichia coli,R12,Oxoglutarate dehydrogenase (succinyl-transferring),R01940,MRL,C00322; C15972,C00011; C06157,Km_C00011: 0.496151149; Km_C06157: 0.2160166153333333; Km_C00322: 0.131888092; Km_C15972: 0.020010605,Kcat_F: 3.4668274095; Kcat_R: 4.268352804,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 1
WP_001181473.1,1.2.4.2,Escherichia coli,R13,Oxoglutarate dehydrogenase (succinyl-transferring),R03316,MRL,C05381; C15972,C00068; C16254,Km_C00068: 0.021916483; Km_C16254: 0.022980487; Km_C05381: 0.018866798; Km_C15972: 0.020010605,Kcat_F: 3.771502646; Kcat_R: 2.947150775,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 1
WP_001181473.1,1.2.4.2,Escherichia coli,R14,Oxoglutarate dehydrogenase (succinyl-transferring),R08549,MRL,C00003; C00010; C00026,C00004; C00011; C00080; C00091,Km_C00004: 0.035209294; Km_C00011: 0.496151149; Km_C00080: 0.608380556; Km_C00091: 0.053117804; Km_C00003: 0.127414092; Km_C00010: 0.066362962; Km_C00026: 332.91150000000005,Kcat_F: 9.177964679666667; Kcat_R: 3.939460558666667,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 88228.45482994754
WP_000153502.1,1.2.1.12,Escherichia coli,R20,Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),R01061,MRL,C00003; C00009; C00118,C00004; C00080; C00236,Km_C00004: 0.028803103; Km_C00080: 2.130417585; Km_C00236: 0.063416369; Km_C00003: 0.071162768; Km_C00009: 1.398443699; Km_C00118: 0.355474025,Kcat_F: 9.585562447333333; Kcat_R: 13.156970524999998,C00236;C00003;C00008;C00020;C01478;C00004;C03444;C00661;C00575;C01159;C00118;C00002;C11215;C00009;C00074;C00080,C01478_KI: 1.313649774;C00080_KI: 2.130417585;C00004_KI: 0.028803103;C00575_KI: 0.02186417;C00003_KI: 0.071162768;C00236_KI: 0.063416369;C11215_KI: 0.41207666420000005;C00020_KI: 0.027926495;C01159_KI: 0.158010766;C00118_KI: 0.355474025;C00661_KI: 0.355474025;C00002_KI: 0.035671327;C00074_KI: 0.099881768;C03444_KI: 0.088304013;C00009_KI: 1.398443699;C00008_KI: 0.032650076,Keq: 0.625512213354187
