Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
WP_000591795.1,2.7.1.11,Escherichia coli,R51,6-phosphofructokinase,R00756,MRL,1 C00002; 1 C00085,1 C00008; 1 C00354,Km_C00008: 0.068868771; Km_C00354: 0.123040177; Km_C00002: 0.073803619; Km_C00085: 0.206363901,Kcat_F: 102.0948756; Kcat_R: 68.69468206549999,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 1323.5664777430577
WP_000591795.1,2.7.1.11,Escherichia coli,R52,6-phosphofructokinase,R03236,MRL,1 C00002; 1 C01097,1 C00008; 1 C03785,Km_C00008: 0.068868771; Km_C03785: 0.123040177; Km_C00002: 0.073803619; Km_C01097: 0.206363901,Kcat_F: 108.48623761; Kcat_R: 68.69468206549999,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 4895.5330073630685
WP_000591795.1,2.7.1.11,Escherichia coli,R53,6-phosphofructokinase,R03237,MRL,1 C00063; 1 C01097,1 C00112; 1 C03785,Km_C00112: 0.0586504; Km_C03785: 0.123040177; Km_C00063: 11.0; Km_C01097: 0.206363901,Kcat_F: 119.74570566; Kcat_R: 83.0863661655,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 5427.31968362763
WP_000591795.1,2.7.1.11,Escherichia coli,R54,6-phosphofructokinase,R03238,MRL,1 C00075; 1 C01097,1 C00015; 1 C03785,Km_C00015: 0.147311985; Km_C03785: 0.123040177; Km_C00075: 5.1; Km_C01097: 0.206363901,Kcat_F: 98.758683515; Kcat_R: 56.9284049655,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 4131.029243021643
WP_000591795.1,2.7.1.11,Escherichia coli,R55,6-phosphofructokinase,R03239,MRL,1 C00081; 1 C01097,1 C00104; 1 C03785,Km_C00104: 0.077306546; Km_C03785: 0.123040177; Km_C00081: 2.2; Km_C01097: 0.206363901,Kcat_F: 96.827870805; Kcat_R: 55.868415515500004,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 8290.639412068638
WP_000095707.1,2.7.2.1,Escherichia coli,R56,Acetate kinase,R00315,MRL,1 C00002; 1 C00033,1 C00008; 1 C00227,Km_C00008: 0.151691675; Km_C00227: 1.3033333333333335; Km_C00002: 0.122388884; Km_C00033: 46.92825317,Kcat_F: 1.4999326265; Kcat_R: 776.364246988,C00163;C00008;C00227;C03444;C11592;C00002;C02876;C00033,C00008_KI: 0.151691675;C11592_KI: 10.854500670714286;C02876_KI: 0.5455302;C00227_KI: 0.54825443;C00033_KI: 46.92825317;C00163_KI: 27.57633972;C03444_KI: 0.109046616;C00002_KI: 0.122388884,Keq: 0.0035291418980283843
WP_000095707.1,2.7.2.1,Escherichia coli,R57,Acetate kinase,R01353,MRL,1 C00002; 1 C00163,1 C00008; 1 C02876,Km_C00008: 0.151691675; Km_C02876: 0.5455302; Km_C00002: 0.122388884; Km_C00163: 27.57633972,Kcat_F: 1.0643798169999998; Kcat_R: 2.623737873,C00163;C00008;C00227;C03444;C11592;C00002;C02876;C00033,C00008_KI: 0.151691675;C11592_KI: 10.854500670714286;C02876_KI: 0.5455302;C00227_KI: 0.54825443;C00033_KI: 46.92825317;C00163_KI: 27.57633972;C03444_KI: 0.109046616;C00002_KI: 0.122388884,Keq: 1.6234889088636884e-06
WP_000078239.1,6.2.1.1,Escherichia coli,R58,Acetate-coa ligase,R00235,MRL,1 C00002; 1 C00010; 1 C00033,1 C00013; 1 C00020; 1 C00024,Km_C00013: 0.13318713; Km_C00020: 0.053331587; Km_C00024: 0.055413216; Km_C00002: 0.05487762; Km_C00010: 0.077155121; Km_C00033: 2.543298721,Kcat_F: 4.182973017; Kcat_R: 3.076708990333333,C00163;C00013;C00100;C05993;C00020;C00024;C05983;C00010;C00002;C00033,C05993_KI: 0.045171168;C00010_KI: 0.077155121;C00020_KI: 0.053331587;C00013_KI: 0.13318713;C00163_KI: 1.640108466;C00024_KI: 0.055413216;C05983_KI: 0.041168746;C00033_KI: 2.543298721;C00002_KI: 0.05487762;C00100_KI: 0.054458927,Keq: 27.390597980701735
WP_000078239.1,6.2.1.1,Escherichia coli,R59,Acetate-coa ligase,R00236,MRL,1 C00010; 1 C05993,1 C00020; 1 C00024,Km_C00020: 0.053331587; Km_C00024: 0.055413216; Km_C00010: 0.077155121; Km_C05993: 0.045171168,Kcat_F: 5.9861884414999995; Kcat_R: 4.5128109405,C00163;C00013;C00100;C05993;C00020;C00024;C05983;C00010;C00002;C00033,C05993_KI: 0.045171168;C00010_KI: 0.077155121;C00020_KI: 0.053331587;C00013_KI: 0.13318713;C00163_KI: 1.640108466;C00024_KI: 0.055413216;C05983_KI: 0.041168746;C00033_KI: 2.543298721;C00002_KI: 0.05487762;C00100_KI: 0.054458927,Keq: 1
WP_000078239.1,6.2.1.1,Escherichia coli,R60,Acetate-coa ligase,R00316,MRL,1 C00002; 1 C00033,1 C00013; 1 C05993,Km_C00013: 0.13318713; Km_C05993: 0.045171168; Km_C00002: 0.05487762; Km_C00033: 2.543298721,Kcat_F: 3.271660328; Kcat_R: 3.085641789,C00163;C00013;C00100;C05993;C00020;C00024;C05983;C00010;C00002;C00033,C05993_KI: 0.045171168;C00010_KI: 0.077155121;C00020_KI: 0.053331587;C00013_KI: 0.13318713;C00163_KI: 1.640108466;C00024_KI: 0.055413216;C05983_KI: 0.041168746;C00033_KI: 2.543298721;C00002_KI: 0.05487762;C00100_KI: 0.054458927,Keq: 1
