sample,malate,pyruvate,serine,glycine,NADH,coa,acetylcoa,succinate,fumarate,citrate,atp,glyoxylate,alanine,aspartate,lysine,valine,oxobutanoate,hydroxyglutarate
mal_0,0.063319077,0.012689406,0.001163549,,0.00011722,,2.4241842017574847e-05,0.016427349941275347,0.000439102,,,,0.002288141,0.001071181,0.004567609,0.000656721,,0.002257296
mal_30,0.024987804,0.001411598,0.002536867,,0.001545497,0.000839713,3.7160528601819356e-05,8.094474619053974e-05,0.006293307,,,0.050194319076702264,0.002035332,0.001346872,0.007540392,0.012839494,,0.011057301834267506
mal_60,0.055033803658257045,0.034157291,,,0.000930672,0.000410572,,0.001111708,0.000646892,,,0.071349699,0.000582954,,,,,
mal_120,0.015455036717929953,0.00481584,,0.010833601892869757,2.9227301171637813e-05,,,0.006390213,2.0709443446076667e-05,,,0.2278334593756324,0.001949578,,0.003807425,0.001582766,,0.000829338
mal_240,0.087638416,0.010734,,0.022921947,0.002320601,,,0.005096335,0.00528869,,,0.12296477392623598,0.002287393,0.00352865,0.010040451,0.022183567112983416,,0.005601665
mal_480,0.017510875865824543,0.015213589,0.002668605,0.002054645,0.000643657,,,0.000369873,0.000835611,,,0.085061468,0.006336643,0.000283681,0.003636088,0.008704829,0.00040577,0.001533148
neg,0.047540472,,,,,0.15734914232339914,0.068969578,0.33808195651858064,0.002702532,0.014517641702490976,0.032546165,,0.1424392128085616,0.010960877443583483,,0.12770781895389804,,0.053436234
ns_1x_1,,,,,,,,,,,,,,,,,,
ns_1x_2,,,,,,,,,,,,,,,,,,
ns_1x_3,,,,,,,,,,,,,,,,,,
ns_1x_4,,,,,,,,,,,,,,,,,,
ns_1x_5,,,,,,,,,,,,,,,,,,
ns_20x_1,,,,,,,,,,,,,,,,,,
ns_20x_2,,,,,,,,,,,,,,,,,,
ns_20x_3,,,,,,,,,,,,,,,,,,
ns_20x_4,,,,,,,,,,,,,,,,,,
ns_20x_5,,,,,,,,,,,,,,,,,,
pyc,0.075057921,,,,,0.17494515793257154,0.098021343,0.5142529934848306,0.005561982,0.059737500412172094,0.033358289,,0.2431687159765525,0.028284185870854198,,0.04913769,,0.044598715276932065
pyc_HCT,,,,0.001489339,,0.075593377,0.10723364881988957,0.14930916143608486,0.001341432,0.032954585988972766,0.031396128,,0.09881538,0.01823181,,0.057210601648084065,,0.048669813
pyc_HCT_dil,0.018982668,0.066218134,,,,0.016457863041369137,0.026914202534233156,0.026184922,0.001252289,0.005790479,0.034912828,,0.004080763,,0.001538985,0.047924769394360564,,
pyc_dil,0.044549275,0.46841960449106995,,0.019091671888622187,,0.031051569906809087,0.17782839815226079,0.070183768,0.000686853,,0.28080813499367435,,0.047742072669398006,,0.000399144,0.10551322085814412,,
pyr_0,0.04765215,0.2299292818162905,0.001762087,,,,3.471462664390957e-06,9.692880804156553e-05,0.000900669,,,0.007601961,0.002286114,0.003532169,0.010435585538098925,0.019578270601543248,,0.020505313162509305
pyr_30,0.005463721,0.046848193,0.002283217,0.007692514,,0.000744654,,,0.003213737,,,0.036925689,0.00075353,5.199949462911312e-05,0.002484301,0.001830308,,0.001466343
pyr_60,0.01958505,0.007884566,,0.001026995,,,,,0.00466028,,,,0.000150322,,,,,0.001216162
pyr_120,0.111497445,0.061680942,,0.002232733,,,,,0.003732632,,,,0.001198915,,0.001443971,0.004008648,,0.015070724465349069
pyr_240,0.006129526,0.003756505,0.002131827,0.050224261,,,,,0.002566804,,,0.022042056060461994,0.000415557,,0.002851778,0.000261624,,0.004488958
pyr_480,0.048447708,0.094120432,0.000248919,0.036854652,,,,,0.003938948,,,0.029609714300032525,0.005110801,0.001749293,0.002276431,0.016098551757682746,,0.003613614
ser_0,0.010829229257058584,,0.1483571123533553,0.063051729,,,,0.004751854,0.00080302,,,,0.011042589793727573,0.004712701,0.009536448,0.037306235885674846,,0.006736133
ser_30,0.012468579057805147,,0.5856778935889418,0.330503812,,,,,0.000212252,,,,0.000727258,,,,,0.001469201
ser_60,0.019351685,,0.2511488099376632,0.148682347,,,,,0.000385407,,,,0.000117302,,,,,0.003930304
ser_120,0.001621266,,0.18785284664922328,0.116059546,,,,,0.000168975,,,,0.008106168,,0.029140326391378948,0.080229678,,0.030308823607080853
ser_240,0.012379636520214685,,0.1200219545628712,0.114922795,,,,,0.00033995,,,,0.004150081,,0.014453223768443983,0.033385624,,0.021998283
ser_480,0.010704842923167987,,0.029284392,0.011605054,,,,,0.000166412,,,,0.000747033,0.000122179,0.005404244,0.007499209,,0.001220368
T0_4hr,0.00639729,0.11773751727733095,0.13550027117366395,,0.13567530257456994,0.15976519581061788,0.008089214,,0.000661022,0.081716143,0.064761172,,0.001301747,,0.000301459,,,0.021022343653140024
TP_4hr,0.026912660656266574,,0.154767397,,0.1735399461339989,,0.10208451239782133,,0.00301503,0.095855572,,,,,,,,0.033987611
00_4hr,0.00619417,0.033072644056794644,0.040193752370146586,,0.15090133550724075,0.045126760036380796,0.015673400506595436,,0.000482908,0.04284846,0.17995175177212283,,0.001612938,,0.000992617,,,0.072166567
tdcb-0,,0.004324619,,,,,,,,,,,,,,,,
tdcb-1,,0.004624738,,,,,,,,,,,,,,,,
tdcb-2,,0.001602606,,,,,,,,,,,,,,,,
tdcb-3,,0.005662762,,,,,,,,,,,,,,,,
pyc-0,0.039458016,,,,,,,,,,,,,,,,,
pyc-1,0.031517646,,,,,,,,,,,,,,,,,
pyc-2,0.042290974,,,,,,,,,,,,,,,,,
pyc-3,0.100624339,,,,,,,,,,,,,,,,,
mdh-0,0.033701978,,,,,,,,,,,,,,,,,
mdh-1,0.009477591,,,,,,,,,,,,,,,,,
mdh-2,0.049658882,,,,,,,,,,,,,,,,,
mdh-3,0.034609799,,,,,,,,,,,,,,,,,
