sample,malate,pyruvate,serine,glycine,NADH,coa,acetylcoa,succinate,fumarate,citrate,atp,glyoxylate,alanine,aspartate,lysine,valine,oxobutanoate,hydroxyglutarate
00_8hr,0.9343609517990893,0.9666410872451734,0.9048807366711408,0.4001428828967824,0.9735165999356711,0.4001428828967824,0.9629753900911832,0.6457650927115979,0.8891064999114792,0.9791800635119259,0.8834023346596254,0.4001428828967824,0.878718051,0.641246536,0.6251512805714722,0.6351791394185142,0.6019145346866667,0.9198326934792429
0P_8hr,0.8769854482031935,0.6923582875265895,0.8817134684210735,0.4001428828967824,0.8790210758207826,0.4001428828967824,0.9059205286101198,0.6994553058156513,0.9058792297790907,0.9063111645433035,0.7280604094153427,0.4001428828967824,0.6400863989040977,0.6896920571007739,0.6549150247924376,0.6765822277373484,0.6047073686471864,0.9357776449906036
0P_4hr,0.8748066775063579,0.7690453821301965,0.8111242530324603,0.4001428828967824,0.9199153306161135,0.4001428828967824,0.4001428828967824,0.9109090508208896,0.5373608964843519,0.5220455127742081,0.59988995,0.4001428828967824,0.9417337060932661,0.8804900856733147,0.7721366712907268,0.8396443124944528,0.6157066768262244,0.634847303
E_N_0_20x,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.6521347598351758,0.4001428828967824,0.6681395765291996,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824
E_N_1_20x,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.6521347598351758,0.6574280321658075,0.6681395765291996,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.6749331814962958,0.4001428828967824,0.4001428828967824,0.6524331728080475,0.4001428828967824,0.4001428828967824
E_N_2_20x,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.6521347598351758,0.6574280321658075,0.6681395765291996,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.6749331814962958,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824
E_N_3_20x,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.6574280321658075,0.6681395765291996,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824
E_N_4_20x,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.6521347598351758,0.6574280321658075,0.6681395765291996,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.4001428828967824,0.6524331728080475,0.4001428828967824,0.4001428828967824
HCT,1.9104627831691389,0.4001428828967824,0.6454973525331943,0.8504525139654586,0.6691401464780584,0.9187373568430949,0.9475014918107808,0.7884611230323428,0.9604703834974382,0.9194755526563821,0.7932107674785324,0.4001428828967824,0.8899063508356483,0.9287577845122755,0.4001428828967824,0.9261597946964683,0.6030286355201083,0.924318615
HCT_dil,1.6656190784409388,0.7972928162824006,0.7253518679206298,0.4001428828967824,0.7900476243103085,0.8174048382253298,0.7808518943247935,0.7841280325033249,0.7877164956784035,0.7758079671108875,0.6255082306614612,0.4001428828967824,0.5788257244461997,0.7666022637249108,0.7021667763983367,0.5539227444196977,0.6091411621779761,0.6767414601786964
NI_0min,0.7170396070948513,0.6718876560427953,0.6898521024175042,0.4001428828967824,0.4840658536357667,0.9924626558636965,0.9719360839416799,0.732452548,0.9778372919767488,0.5568593047000185,0.7705015584840924,0.4001428828967824,0.4001428828967824,0.7194659859175631,0.4001428828967824,0.7020279775734345,0.6064238047194391,0.4001428828967824
