,EC,KEGG Rid,R string,Keq
0,3.1.3.104,,,
1,3.2.2.4,R00182,,1377.094108457392
2,2.8.1.-,,,
3,1.3.5.1,R02164,,17031.36077352121
4,1.8.4.-,,,
5,2.2.1.6,R08648,,1611.9619684471538
6,2.5.1.47,R04859,,306709802.7507558
7,2.7.7.7,R00378,,
8,1.8.1.2,R00858,,5.902787476017572e-20
9,6.3.3.1,R04208,,0.0896960726800469
10,2.1.2.-,R01775,,0.000391345187661098
11,1.1.1.3,R01775,,0.000391345187661098
12,3.4.16.4,,,
13,3.1.4.16,R05135,,595879.3369083873
14,2.1.1.170,,,
15,2.2.1.6,R08648,,1611.9619684471538
16,3.5.1.-,R02777,,5.311442282495572
17,1.1.1.133,R02777,,5.311442282495572
18,1.1.1.-,R01078,,
19,2.8.1.6,R01078,,
20,2.5.1.90,R09248,,1.6130225470587268e+71
21,1.-.-.-,R04993,,2905041.329282209
22,2.1.1.163,R04993,,2905041.329282209
23,2.4.1.25,,,
24,3.6.5.-,,,
25,5.4.2.11,,,
26,2.7.7.38,R03351,,5.329129420523432e-41
27,2.1.1.172,R07234,,31836644.79782708
28,2.4.2.19,R03348,,2.8373908366182075e-05
29,2.1.1.191,,,
30,2.1.1.185,,,
31,2.7.2.11,R00239,,8.730948996109373e-06
32,2.1.2.11,R01216,,0.00045306709258923845
33,1.8.4.8,R02021,,31680601.65273491
34,4.3.2.10,,,
35,2.1.1.298,,,
36,1.16.3.1,R00078,,3722541.026089748
37,2.5.1.19,R03460,,773.4091826195146
38,1.17.1.8,,,
39,2.7.1.12,R01737,,155.0758749150638
40,3.1.3.5,R02102,,199.88144703333398
41,4.2.3.3,R01016,,27995049754.501617
42,3.1.3.45,R03350,,119.41865203687959
43,2.7.1.35,R02493,,625.115344079102
44,5.2.1.8,R04273,,1.0
45,3.5.2.3,R01993,,18.951393281470356
46,5.1.99.7,,,
47,2.6.1.9,R00734,,0.8591956102112979
48,1.4.99.-,,,
49,4.2.3.5,R01714,,96861033.34091416
50,3.1.1.29,R04238,,1.0
51,3.1.-.-,,,
52,1.3.1.98,,,
53,3.1.3.10,R00947,,418.9606523023835
54,6.3.2.4,R01150,,79670.0205918277
55,2.3.1.191,,,
56,6.3.2.8,R03193,,219851.96538580404
57,5.4.99.25,,,
58,2.1.1.186,,,
59,2.8.4.4,,,
60,2.7.7.38,R03351,,5.329129420523432e-41
61,2.1.1.33,R00600,,31836644.79782708
62,4.3.1.17,R08698,,16435.19273313509
63,3.1.3.7,R00508,,139.06657561108884
64,2.1.1.198,,,
65,3.1.11.6,,,
66,2.7.7.4,R04929,,1.8543287415513632
67,1.17.4.2,R02023,,3.110487175045489e-08
68,2.7.7.9,R00289,,1.5971005126830027
69,2.1.1.-,R06137,,1.0
70,3.5.4.13,R06137,,1.0
71,3.1.3.-,R01157,,18616491957.531113
72,3.5.3.11,R01157,,18616491957.531113
73,1.6.5.9,R02163,,3.771213393937312e-15
74,1.1.1.28,R00704,,0.0002419607076574943
75,4.1.1.11,R00489,,913.8662299094832
76,2.1.3.2,R01397,,8677.89182760907
77,3.1.21.3,,,
78,1.1.1.284,R07140,,476736.88311806857
79,3.5.4.16,R05048,,51.28425157959845
80,2.1.1.200,,,
81,3.4.24.-,,,
82,4.1.99.12,R07281,,2889427649615113.5
83,3.1.26.12,,,
84,1.2.1.11,R02291,,17499.387487988108
85,3.2.2.3,R01080,,186.68354669710627
86,3.1.3.23,R00804,,1.0
87,3.4.19.5,,,
88,2.1.3.2,R01397,,8677.89182760907
89,2.7.4.9,R02098,,0.700117564188498
90,4.2.1.126,R08555,,3.5102990220937524
91,2.8.1.8,R07768,,1012817559044292.5
92,5.3.4.1,,,
93,2.6.1.57,R07396,,0.01503060856645103
94,2.7.3.9,R02628,,0.305991647576354
95,3.6.1.-,,,
96,7.1.2.2,,,
97,3.4.24.-,,,
98,6.3.2.10,R04617,,586354.5206201576
