Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Relative
C01643,,Metabolite,0.001,,,,v659
C02090,,Metabolite,0.001,,,,v660
C00993,,Metabolite,0.001,,,,v661
C01650,,Metabolite,0.001,,,,v662
C00698,,Metabolite,0.001,,,,v663
C00221,,Metabolite,0.001,,,,v664
C01024,,Metabolite,0.001,,,,v665
C00206,,Metabolite,0.001,,,,v666
C00059,,Metabolite,0.001,,,,v667
C01137,,Metabolite,0.001,,,,v668
C00122,,Metabolite,0.001,,,,v669
C14804,,Metabolite,0.001,,,,v670
C00021,,Metabolite,0.001,,,,v671
C06006,,Metabolite,0.001,,,,v672
C00160,,Metabolite,0.001,,,,v673
C00311,,Metabolite,0.001,,,,v674
C00019,,Metabolite,0.001,,,,v675
C04620,,Metabolite,0.001,,,,v676
C14806,,Metabolite,0.001,,,,v677
C06056,,Metabolite,0.001,,,,v678
C03508,,Metabolite,0.001,,,,v679
C14090,,Metabolite,0.001,,,,v680
C04534,,Metabolite,0.001,,,,v681
C00383,,Metabolite,0.001,,,,v682
C06136,,Metabolite,0.001,,,,v683
C00655,,Metabolite,0.001,,,,v684
C05335,,Metabolite,0.001,,,,v685
C04633,,Metabolite,0.001,,,,v686
C01645,,Metabolite,0.001,,,,v687
C04309,,Metabolite,0.001,,,,v688
C07600,,Metabolite,0.001,,,,v689
C00343,,Metabolite,0.001,,,,v690
C00006,,Metabolite,0.0021,,,,v691
C01233,,Metabolite,0.001,,,,v692
C02839,,Metabolite,0.001,,,,v693
C05402,,Metabolite,0.001,,,,v694
C00047,,Metabolite,0.001,,,,v695
C00141,,Metabolite,0.001,,,,v696
C00270,,Metabolite,0.001,,,,v697
C01240,,Metabolite,0.001,,,,v698
C01269,,Metabolite,0.001,,,,v699
C00295,,Metabolite,0.001,,,,v700
C01005,,Metabolite,0.001,,,,v701
C06126,,Metabolite,0.001,,,,v702
C00272,,Metabolite,0.001,,,,v703
C04268,,Metabolite,0.001,,,,v704
C00669,,Metabolite,0.001,,,,v705
C05444,,Metabolite,0.001,,,,v706
C00093,,Metabolite,0.001,,,,v707
C00670,,Metabolite,0.001,,,,v708
C00080,,Metabolite,0.0001,,,,v709
C02929,,Metabolite,0.001,,,,v710
C00001,,Metabolite,0.001,,,,v711
C18902,,Metabolite,0.001,,,,v712
C15972,,Metabolite,0.001,,,,v713
C00226,,Metabolite,0.001,,,,v714
C00081,,Metabolite,0.001,,,,v715
C04737,,Metabolite,0.001,,,,v716
C00688,,Metabolite,0.001,,,,v717
C16619,,Metabolite,0.001,,,,v718
C15586,,Metabolite,0.001,,,,v719
C05381,,Metabolite,0.001,,,,v720
C01242,,Metabolite,0.001,,,,v721
C00109,,Metabolite,0.001,,,,v722
C04133,,Metabolite,0.001,,,,v723
C01171,,Metabolite,0.001,,,,v724
C03090,,Metabolite,0.001,,,,v725
C04489,,Metabolite,0.001,,,,v726
C00704,,Metabolite,0.001,,,,v727
C05838,,Metabolite,0.001,,,,v728
C02163,,Metabolite,0.001,,,,v729
C06790,,Metabolite,0.001,,,,v730
C06007,,Metabolite,0.001,,,,v731
C15587,,Metabolite,0.001,,,,v732
C00051,,Metabolite,0.001,,,,v733
C00294,,Metabolite,0.001,,,,v734
C00114,,Metabolite,0.001,,,,v735
C00131,,Metabolite,0.001,,,,v736
C06157,,Metabolite,0.001,,,,v737
C00448,,Metabolite,0.001,,,,v738
C14870,,Metabolite,0.001,,,,v739
C14847,,Metabolite,0.001,,,,v740
C00546,,Metabolite,0.001,,,,v741
C11088,,Metabolite,0.001,,,,v742
C05382,,Metabolite,0,,,,v743
C00163,,Metabolite,0.001,,,,v744
C16586,,Metabolite,0.001,,,,v745
C06018,,Metabolite,0.001,,,,v746
C00417,,Metabolite,0.001,,,,v747
C05669,,Metabolite,0.001,,,,v748
C14856,,Metabolite,0.001,,,,v749
C01528,,Metabolite,0.001,,,,v750
C00118,,Metabolite,0.001,,,,v751
C02520,,Metabolite,0.001,,,,v752
C04911,,Metabolite,0.001,,,,v753
C00043,,Metabolite,0.001,,,,v754
C00680,,Metabolite,0.001,,,,v755
C01478,,Metabolite,0.001,,,,v756
C00363,,Metabolite,0.001,,,,v757
C16615,,Metabolite,0.001,,,,v758
C00493,,Metabolite,0.001,,,,v759
C00437,,Metabolite,0.001,,,,v760
Aconitate hydratase,4.2.1.3,Enzyme,48.5,,,,rel0
Dna-directed rna polymerase,2.7.7.6,Enzyme,121.5,,,,rel0
Oxoglutarate dehydrogenase (succinyl-transferring),1.2.4.2,Enzyme,46.5,,,,rel0
Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),1.2.1.12,Enzyme,40,,,,rel0
Pyruvate dehydrogenase (acetyl-transferring),1.2.4.1,Enzyme,31,,,,rel0
Peptidylprolyl isomerase,5.2.1.8,Enzyme,74,,,,rel0
Carbamoyl-phosphate synthase (glutamine-hydrolysing),6.3.5.5,Enzyme,43.5,,,,rel0
Dihydrolipoyl dehydrogenase,1.8.1.4,Enzyme,32.5,,,,rel0
Succinate-coa ligase (adp-forming),6.2.1.5,Enzyme,54.5,,,,rel0
Phosphoglycerate kinase,2.7.2.3,Enzyme,25,,,,rel0
Alanine-trna ligase,6.1.1.7,Enzyme,26.5,,,,rel0
Phosphopyruvate hydratase,4.2.1.11,Enzyme,25.5,,,,rel0
Transketolase,2.2.1.1,Enzyme,27.5,,,,rel0
Dihydrolipoyllysine-residue acetyltransferase,2.3.1.12,Enzyme,26,,,,rel0
Ketol-acid reductoisomerase (nadp+),1.1.1.86,Enzyme,25,,,,rel0
Cysteine synthase,2.5.1.47,Enzyme,26.5,,,,rel0
Malate dehydrogenase,1.1.1.37,Enzyme,21,,,,rel0
Transaldolase,2.2.1.2,Enzyme,23,,,,rel0
Proline-trna ligase,6.1.1.15,Enzyme,21,,,,rel0
Isoleucine-trna ligase,1.11.1.26,Enzyme,24.5,,,,rel0
"Pyruvate, water dikinase",6.1.1.5,Enzyme,22.5,,,,rel0
Dihydrolipoyllysine-residue succinyltransferase,2.7.9.2,Enzyme,18,,,,rel0
Phosphoenolpyruvate carboxykinase (atp),2.3.1.61,Enzyme,21.5,,,,rel0
Glycine hydroxymethyltransferase,4.1.1.49,Enzyme,20.5,,,,rel0
Fumarate hydratase,2.1.2.1,Enzyme,15.5,,,,rel0
Phenylalanine-trna ligase,4.2.1.2,Enzyme,16.5,,,,rel0
Aspartate ammonia-lyase,6.1.1.20,Enzyme,31,,,,rel0
Cysteine desulfurase,2.3.3.16,Enzyme,14.5,,,,rel0
"Phosphogluconate dehydrogenase (nadp+-dependent, decarboxylating)",4.3.1.1,Enzyme,18,,,,rel0
Aspartate transaminase,2.8.1.7,Enzyme,22,,,,rel0
Serine-trna ligase,1.1.1.44,Enzyme,15,,,,rel0
Adenylosuccinate synthase,2.6.1.1,Enzyme,22.5,,,,rel0
Enoyl-[acyl-carrier-protein] reductase (nadh),6.1.1.11,Enzyme,15.5,,,,rel0
Catalase-peroxidase,6.3.4.4,Enzyme,20,,,,rel0
Leucine-trna ligase,1.3.1.9,Enzyme,20,,,,rel0
Glycerol kinase,1.11.1.21,Enzyme,13,,,,rel0
Glycine-trna ligase,6.1.1.4,Enzyme,15.5,,,,rel0
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate n-succinyltransferase",2.7.1.30,Enzyme,21,,,,rel0
Phosphoenolpyruvate-protein phosphotransferase,4.1.1.31,Enzyme,8.5,,,,rel0
Glycine dehydrogenase (aminomethyl-transferring),6.1.1.14,Enzyme,17.5,,,,rel0
Fructose-bisphosphate aldolase,2.3.1.117,Enzyme,15,,,,rel0
Adenylate kinase,2.7.3.9,Enzyme,18.5,,,,rel0
Ctp synthase (glutamine hydrolysing),1.4.4.2,Enzyme,13,,,,rel0
Glutamine-fructose-6-phosphate transaminase (isomerizing),7.1.2.2,Enzyme,31.5,,,,rel0
Methionine adenosyltransferase,4.1.2.13,Enzyme,15.5,,,,rel0
Glutamate-trna ligase,2.7.4.3,Enzyme,19,,,,rel0
Cytosol nonspecific dipeptidase,3.4.25.2,Enzyme,13.5,,,,rel0
Pyruvate kinase,6.3.4.2,Enzyme,14,,,,rel0
Phosphate acetyltransferase,2.6.1.16,Enzyme,15.5,,,,rel0
Alpha-galactosidase,2.5.1.6,Enzyme,16,,,,rel0
Valine-trna ligase,6.1.1.17,Enzyme,14.5,,,,rel0
Imp dehydrogenase,3.4.13.18,Enzyme,15,,,,rel0
Dihydroxy-acid dehydratase,2.7.1.40,Enzyme,28.5,,,,rel0
Threonine-trna ligase,2.3.1.8,Enzyme,13.5,,,,rel0
Tryptophanase,5.4.2.11,Enzyme,16.5,,,,rel0
Asparagine-trna ligase,3.2.1.22,Enzyme,7,,,,rel0
Histidine-trna ligase,6.1.1.9,Enzyme,10.5,,,,rel0
Methionine-trna ligase,1.1.1.205,Enzyme,11,,,,rel0
Biotin carboxylase,4.2.1.9,Enzyme,18.5,,,,rel0
Tyrosine-trna ligase,6.1.1.3,Enzyme,10.5,,,,rel0
Nad(p)+ transhydrogenase (si-specific),7.4.2.1,Enzyme,15.5,,,,rel0
Beta-ketoacyl-[acyl-carrier-protein] synthase i,7.5.2.1,Enzyme,13,,,,rel0
Glutamine synthetase,4.1.99.1,Enzyme,9.5,,,,rel0
Gmp synthase (glutamine-hydrolysing),6.1.1.22,Enzyme,10.5,,,,rel0
"Alpha,alpha-phosphotrehalase",6.1.1.21,Enzyme,11.5,,,,rel0
Lysine-trna ligase,6.1.1.10,Enzyme,10,,,,rel0
Nucleoside-diphosphate kinase,6.3.4.14,Enzyme,10,,,,rel0
Malate dehydrogenase (oxaloacetate-decarboxylating) (nadp+),6.1.1.1,Enzyme,10,,,,rel0
Acetate-coa ligase,1.6.1.1,Enzyme,8,,,,rel0
Ribose-phosphate diphosphokinase,2.3.1.41,Enzyme,9.5,,,,rel0
Triose-phosphate isomerase,6.3.1.2,Enzyme,7.5,,,,rel0
Polyribonucleotide nucleotidyltransferase,6.3.5.2,Enzyme,7,,,,rel0
Membrane alanyl aminopeptidase,3.2.1.93,Enzyme,6.5,,,,rel0
Thioredoxin-disulfide reductase,3.4.24.70,Enzyme,8,,,,rel0
3-deoxy-8-phosphooctulonate synthase,6.1.1.6,Enzyme,23.5,,,,rel0
Argininosuccinate synthase,2.7.4.6,Enzyme,10,,,,rel0
"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",1.15.1.1,Enzyme,14,,,,rel0
Glutamine-trna ligase,1.1.1.40,Enzyme,15.5,,,,rel0
Glycine c-acetyltransferase,4.3.2.1,Enzyme,6.5,,,,rel0
Phosphoserine transaminase,6.2.1.1,Enzyme,9,,,,rel0
"Glutamate-1-semialdehyde 2,1-aminomutase",2.7.6.1,Enzyme,9,,,,rel0
Branched-chain-amino-acid transaminase,2.7.1.199,Enzyme,8,,,,rel0
Aminomethyltransferase,5.3.1.1,Enzyme,6.5,,,,rel0
Acetate kinase,2.7.7.8,Enzyme,4.5,,,,rel0
Acetyl-coa carboxylase,3.4.11.2,Enzyme,9.5,,,,rel0
Purine-nucleoside phosphorylase,1.8.1.9,Enzyme,9,,,,rel0
"6,7-dimethyl-8-ribityllumazine synthase",2.5.1.55,Enzyme,9,,,,rel0
Adp-glyceromanno-heptose 6-epimerase,6.3.4.5,Enzyme,10.5,,,,rel0
Glucose-6-phosphate dehydrogenase (nadp+),5.4.2.2,Enzyme,7.5,,,,rel0
Arginine-trna ligase,6.1.1.18,Enzyme,6.5,,,,rel0
"6,7-dihydropteridine reductase",2.3.1.29,Enzyme,9,,,,rel0
D-sedoheptulose 7-phosphate isomerase,2.6.1.52,Enzyme,10,,,,rel0
Inorganic diphosphatase,5.4.3.8,Enzyme,7.5,,,,rel0
L-threonine 3-dehydrogenase,2.6.1.42,Enzyme,7,,,,rel0
Galactitol-1-phosphate 5-dehydrogenase,2.1.2.10,Enzyme,7,,,,rel0
Uridine phosphorylase,2.7.2.1,Enzyme,7.5,,,,rel0
3-hydroxyacyl-[acyl-carrier-protein] dehydratase,6.4.1.2,Enzyme,9,,,,rel0
Pepb aminopeptidase,2.4.2.1,Enzyme,9,,,,rel0
S-ribosylhomocysteine lyase,2.5.1.78,Enzyme,5.5,,,,rel0
Beta-ketoacyl-[acyl-carrier-protein] synthase iii,5.1.3.20,Enzyme,7,,,,rel0
Tryptophan-trna ligase,3.4.13.9,Enzyme,8,,,,rel0
Nad+ synthase,1.1.1.49,Enzyme,8,,,,rel0
D-alanine-d-alanine ligase,6.1.1.19,Enzyme,8.5,,,,rel0
Aspartate-semialdehyde dehydrogenase,1.5.1.34,Enzyme,7,,,,rel0
Dna-directed dna polymerase,1.16.3.2,Enzyme,5.5,,,,rel0
Shikimate kinase,5.3.1.28,Enzyme,5,,,,rel0
Phosphoglucosamine mutase,3.6.1.1,Enzyme,8.5,,,,rel0
(e)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),2.3.1.39,Enzyme,4,,,,rel0
Phosphoribosylaminoimidazolecarboxamide formyltransferase,1.1.1.103,Enzyme,5.5,,,,rel0
Arginine decarboxylase,5.6.2.2,Enzyme,7.5,,,,rel0
2-dehydro-3-deoxy-phosphogluconate aldolase,1.1.1.251,Enzyme,5,,,,rel0
Ribose-5-phosphate isomerase,2.4.2.3,Enzyme,5,,,,rel0
Udp-4-amino-4-deoxy-l-arabinose aminotransferase,4.2.1.59,Enzyme,6,,,,rel0
L-fucose isomerase,3.4.21.92,Enzyme,12,,,,rel0
Cysteine-trna ligase,4.3.3.7,Enzyme,5,,,,rel0
6-phosphofructokinase,3.4.11.23,Enzyme,5.5,,,,rel0
Adenylosuccinate lyase,4.4.1.21,Enzyme,3.5,,,,rel0
Formyltetrahydrofolate deformylase,2.3.1.180,Enzyme,4.5,,,,rel0
Porphobilinogen synthase,6.1.1.2,Enzyme,5.5,,,,rel0
Inositol-phosphate phosphatase,6.3.1.5,Enzyme,4,,,,rel0
Isocitrate lyase,3.4.21.107,Enzyme,7.5,,,,rel0
Succinate dehydrogenase,6.3.2.4,Enzyme,7,,,,rel0
Phosphopentomutase,3.4.11.18,Enzyme,3.5,,,,rel0
"Dtdp-glucose 4,6-dehydratase",3.1.13.1,Enzyme,6,,,,rel0
3-oxoacyl-[acyl-carrier-protein] reductase,1.2.1.11,Enzyme,6,,,,rel0
Acetylornithine deacetylase,2.7.7.7,Enzyme,2.5,,,,rel0
Udp-glucuronic acid dehydrogenase (udp-4-keto-hexauronic acid,2.7.1.71,Enzyme,5.5,,,,rel0
Methylthioadenosine nucleosidase,5.4.2.10,Enzyme,6,,,,rel0
Acetolactate synthase,1.17.7.1,Enzyme,4.5,,,,rel0
3-deoxy-7-phosphoheptulonate synthase,2.1.2.3,Enzyme,2.5,,,,rel0
Glutathione synthase,4.1.1.19,Enzyme,3.5,,,,rel0
3-hydroxypropionate dehydrogenase (nadp+),4.1.2.14,Enzyme,3,,,,rel0
Nadh:quinone reductase (non-electrogenic),5.3.1.6,Enzyme,4.5,,,,rel0
Glycerophosphodiester phosphodiesterase,2.6.1.87,Enzyme,4,,,,rel0
L-serine ammonia-lyase,5.3.1.25,Enzyme,4,,,,rel0
Pantoate-beta-alanine ligase (amp-forming),6.1.1.16,Enzyme,5,,,,rel0
Glycogen phosphorylase,2.7.1.11,Enzyme,3,,,,rel0
Hypoxanthine phosphoribosyltransferase,4.3.2.2,Enzyme,4.5,,,,rel0
Beta-galactosidase,3.5.1.10,Enzyme,3.5,,,,rel0
2-hydroxy-3-oxopropionate reductase,4.2.1.24,Enzyme,1.5,,,,rel0
Udp-n-acetylglucosamine 1-carboxyvinyltransferase,3.1.3.25,Enzyme,3.5,,,,rel0
Threonine ammonia-lyase,4.1.3.1,Enzyme,5.5,,,,rel0
Glutamate-cysteine ligase,1.3.5.1,Enzyme,5,,,,rel0
Glutathione-disulfide reductase,2.8.4.3,Enzyme,3.5,,,,rel0
5-methyltetrahydropteroyltriglutamate-homocysteine s-methyltransferase,5.4.2.7,Enzyme,5,,,,rel0
Orotidine-5'-phosphate decarboxylase,4.2.1.46,Enzyme,2,,,,rel0
1-(5-phosphoribosyl)-5-[(5,1.1.1.100,Enzyme,2.5,,,,rel0
N-acetylneuraminate lyase,3.5.1.16,Enzyme,1,,,,rel0
Phosphoribosylformylglycinamidine synthase,1.1.1.305,Enzyme,3,,,,rel0
Phosphoribosylaminoimidazolesuccinocarboxamide synthase,3.2.2.16,Enzyme,2,,,,rel0
Histidinol-phosphatase,2.2.1.6,Enzyme,5,,,,rel0
Peptide deformylase,2.5.1.54,Enzyme,5,,,,rel0
Glucose-6-phosphate isomerase,1.5.1.38,Enzyme,3.5,,,,rel0
Leucyl aminopeptidase,6.3.2.3,Enzyme,5,,,,rel0
Fructose-bisphosphatase,1.1.1.298,Enzyme,1,,,,rel0
Ribulose-phosphate 3-epimerase,1.6.5.9,Enzyme,6,,,,rel0
Adenine phosphoribosyltransferase,3.1.4.46,Enzyme,4.5,,,,rel0
Betaine-aldehyde dehydrogenase,2.4.2.9,Enzyme,3.5,,,,rel0
Tagatose-bisphosphate aldolase,4.3.1.17,Enzyme,2.5,,,,rel0
"1,4-dihydroxy-2-naphthoyl-coa synthase",6.3.2.1,Enzyme,4.5,,,,rel0
Ribonucleoside-diphosphate reductase,2.4.1.1,Enzyme,2.5,,,,rel0
Gmp reductase,2.4.2.8,Enzyme,4,,,,rel0
Glutamate-5-semialdehyde dehydrogenase,3.6.5.n1,Enzyme,5,,,,rel0
Xanthine phosphoribosyltransferase,1.11.1.24,Enzyme,3.5,,,,rel0
Riboflavin synthase,3.2.1.23,Enzyme,0.5,,,,rel0
Alcohol dehydrogenase (nadp+),1.1.1.60,Enzyme,1,,,,rel0
Phosphoglycerate dehydrogenase,1.1.1.38,Enzyme,4.5,,,,rel0
Acetylglutamate kinase,2.5.1.7,Enzyme,2.5,,,,rel0
Hydroxyacylglutathione hydrolase,4.3.1.19,Enzyme,4.5,,,,rel0
Thymidylate synthase,3.4.15.5,Enzyme,1,,,,rel0
Mannose-6-phosphate isomerase,5.6.2.1,Enzyme,2.5,,,,rel0
Atp phosphoribosyltransferase,6.3.2.2,Enzyme,2.5,,,,rel0
Asparagine synthase (glutamine-hydrolysing),2.6.1.11,Enzyme,1,,,,rel0
Rna helicase,1.8.1.7,Enzyme,1,,,,rel0
Ump kinase,2.1.1.14,Enzyme,0.5,,,,rel0
Spermidine synthase,4.1.1.23,Enzyme,2,,,,rel0
"Dtdp-4-amino-4,6-dideoxy-d-glucose transaminase",5.3.1.16,Enzyme,1.5,,,,rel0
N-methyl-l-amino-acid oxidase,5.1.3.29,Enzyme,1.5,,,,rel0
Arsenate reductase (glutathione/glutaredoxin),4.1.3.3,Enzyme,1.5,,,,rel0
"Udp-n-acetylmuramoyl-l-alanyl-d-glutamate-2,6-diaminopimelate ligase",6.3.5.3,Enzyme,2,,,,rel0
Peptide-methionine (r)-s-oxide reductase,1.8.1.2,Enzyme,2.5,,,,rel0
Thiosulfate sulfurtransferase,6.3.2.6,Enzyme,1.5,,,,rel0
Alanine racemase,3.2.1.21,Enzyme,3,,,,rel0
Hydroxymethylbilane synthase,3.1.3.15,Enzyme,2.5,,,,rel0
Glutathione transferase,3.5.1.88,Enzyme,2.5,,,,rel0
Alcohol dehydrogenase,2.7.1.167,Enzyme,3,,,,rel0
Uroporphyrinogen decarboxylase,5.3.1.9,Enzyme,3.5,,,,rel0
Pyridoxine 5'-phosphate synthase,3.4.11.1,Enzyme,2,,,,rel0
Threonine synthase,3.1.3.11,Enzyme,5,,,,rel0
Orotate phosphoribosyltransferase,5.1.3.1,Enzyme,1.5,,,,rel0
Glucose-1-phosphate thymidylyltransferase,2.4.2.7,Enzyme,2,,,,rel0
6-phospho-beta-glucosidase,4.98.1.1,Enzyme,2,,,,rel0
Histidinol dehydrogenase,1.2.1.8,Enzyme,1,,,,rel0
Udp-n-acetylmuramoyl-l-alanine-d-glutamate ligase,5.4.2.12,Enzyme,2,,,,rel0
Dihydrofolate synthase,4.1.2.40,Enzyme,1,,,,rel0
Pyrroline-5-carboxylate reductase,4.1.3.36,Enzyme,0.5,,,,rel0
"Dtdp-4-dehydrorhamnose 3,5-epimerase",1.17.4.1,Enzyme,1,,,,rel0
Deoxyribose-phosphate aldolase,1.7.1.7,Enzyme,2.5,,,,rel0
L-methionine (r)-s-oxide reductase,1.2.1.41,Enzyme,7,,,,rel0
N-acetyl-gamma-glutamyl-phosphate reductase,1.5.1.41,Enzyme,2,,,,rel0
Udp-n-acetylmuramoyl-tripeptide-d-alanyl-d-alanine ligase,2.4.2.22,Enzyme,2,,,,rel0
Aromatic-amino-acid transaminase,2.5.1.9,Enzyme,3.5,,,,rel0
Lipoyl synthase,1.1.1.2,Enzyme,0.5,,,,rel0
N-acetylmuramic acid 6-phosphate etherase,3.4.11.9,Enzyme,3,,,,rel0
Dtmp kinase,1.1.1.95,Enzyme,1,,,,rel0
Aspartate carbamoyltransferase,2.7.2.8,Enzyme,1.5,,,,rel0
Sugar-phosphatase,3.1.2.6,Enzyme,1.5,,,,rel0
"3,4-dihydroxy-2-butanone-4-phosphate synthase",6.3.4.13,Enzyme,1,,,,rel0
Gtp cyclohydrolase i,2.1.1.45,Enzyme,1.5,,,,rel0
S-(hydroxymethyl)glutathione dehydrogenase,5.3.1.8,Enzyme,2,,,,rel0
Aspartate 1-decarboxylase,2.4.2.17,Enzyme,3,,,,rel0
D-lactate dehydrogenase,3.1.11.2,Enzyme,1,,,,rel0
Trna nucleotidyltransferase,6.3.5.4,Enzyme,0.5,,,,rel0
Agmatinase,3.6.4.13,Enzyme,1.5,,,,rel0
Dctp deaminase,2.7.4.22,Enzyme,1.5,,,,rel0
Utp-glucose-1-phosphate uridylyltransferase,2.5.1.16,Enzyme,1.5,,,,rel0
Ribonucleoside-triphosphate reductase (thioredoxin),3.1.21.3,Enzyme,2.5,,,,rel0
Sulfate adenylyltransferase,2.6.1.33,Enzyme,1,,,,rel0
"3'(2'),5'-bisphosphate nucleotidase",1.5.3.2,Enzyme,3,,,,rel0
Trna (guanine46-n7)-methyltransferase,3.6.1.23,Enzyme,1.5,,,,rel0
3-deoxy-manno-octulosonate cytidylyltransferase,1.20.4.1,Enzyme,1.5,,,,rel0
Udp-n-acetylmuramate-l-alanine ligase,6.3.2.13,Enzyme,1.5,,,,rel0
Glucose-1-phosphatase,1.8.4.12,Enzyme,2,,,,rel0
Aminoacyl-trna hydrolase,2.8.1.1,Enzyme,2,,,,rel0
Histidinol-phosphate transaminase,5.1.1.1,Enzyme,1,,,,rel0
Dihydroorotase,2.5.1.61,Enzyme,0.5,,,,rel0
Pyridoxal kinase,2.5.1.18,Enzyme,1,,,,rel0
3-deoxy-manno-octulosonate-8-phosphatase,1.1.1.1,Enzyme,1,,,,rel0
Methylglyoxal synthase,4.1.1.37,Enzyme,0,,,,rel0
5'-nucleotidase,2.10.1.1,Enzyme,0,,,,rel0
Gluconokinase,2.6.99.2,Enzyme,1,,,,rel0
3-phosphoshikimate 1-carboxyvinyltransferase,4.2.3.1,Enzyme,0.5,,,,rel0
Ferroxidase,2.4.2.10,Enzyme,0.5,,,,rel0
Phosphoadenylyl-sulfate reductase (thioredoxin),2.7.7.24,Enzyme,2,,,,rel0
3-methyl-2-oxobutanoate hydroxymethyltransferase,3.2.1.86,Enzyme,1,,,,rel0
Glutamate 5-kinase,1.1.1.23,Enzyme,0.5,,,,rel0
Nicotinate-nucleotide diphosphorylase (carboxylating),6.3.2.9,Enzyme,1.5,,,,rel0
16s rrna (guanine1207-n2)-methyltransferase,6.3.2.12,Enzyme,0.5,,,,rel0
Demethylmenaquinone methyltransferase,1.17.7.4,Enzyme,1.5,,,,rel0
All-trans-octaprenyl-diphosphate synthase,6.3.2.45,Enzyme,1,,,,rel0
Biotin synthase,1.5.1.2,Enzyme,1,,,,rel0
"2',3'-cyclic-nucleotide 2'-phosphodiesterase",5.1.3.13,Enzyme,1,,,,rel0
Homoserine dehydrogenase,4.1.2.4,Enzyme,0.5,,,,rel0
Phosphoribosylformylglycinamidine cyclo-ligase,1.8.4.14,Enzyme,1,,,,rel0
Amp nucleosidase,1.6.5.10,Enzyme,0.5,,,,rel0
,1.2.1.38,Enzyme,2,,,,rel0
,6.3.2.10,Enzyme,0.5,,,,rel0
,2.6.1.57,Enzyme,2,,,,rel0
,5.3.4.1,Enzyme,1,,,,rel0
,2.8.1.8,Enzyme,2.5,,,,rel0
,4.2.1.126,Enzyme,1,,,,rel0
,2.7.4.9,Enzyme,1.5,,,,rel0
,2.1.3.2,Enzyme,1,,,,rel0
,3.4.19.5,Enzyme,2,,,,rel0
,3.1.3.23,Enzyme,1.5,,,,rel0
,3.2.2.3,Enzyme,1,,,,rel0
,3.6.1.66,Enzyme,0.5,,,,rel0
,3.1.26.12,Enzyme,0.5,,,,rel0
,4.1.99.12,Enzyme,1.5,,,,rel0
,2.1.1.200,Enzyme,1,,,,rel0
,3.5.4.16,Enzyme,0,,,,rel0
,1.1.1.284,Enzyme,1,,,,rel0
,4.1.1.11,Enzyme,1,,,,rel0
,1.1.1.28,Enzyme,1,,,,rel0
,2.7.7.56,Enzyme,0,,,,rel0
,3.5.3.11,Enzyme,2,,,,rel0
,3.5.4.13,Enzyme,0.5,,,,rel0
,2.7.7.9,Enzyme,1,,,,rel0
,1.17.4.2,Enzyme,0,,,,rel0
,2.7.7.4,Enzyme,0.5,,,,rel0
,3.1.11.6,Enzyme,2,,,,rel0
,2.1.1.198,Enzyme,0,,,,rel0
,3.1.3.7,Enzyme,1,,,,rel0
,2.1.1.33,Enzyme,0.5,,,,rel0
,2.7.7.38,Enzyme,1.5,,,,rel0
,2.8.4.4,Enzyme,1,,,,rel0
,2.1.1.186,Enzyme,1,,,,rel0
,5.4.99.25,Enzyme,1,,,,rel0
,6.3.2.8,Enzyme,0.5,,,,rel0
,2.3.1.191,Enzyme,0.5,,,,rel0
,3.1.3.10,Enzyme,1.5,,,,rel0
,1.3.1.98,Enzyme,0,,,,rel0
,3.1.1.29,Enzyme,1,,,,rel0
,4.2.3.5,Enzyme,1,,,,rel0
,2.6.1.9,Enzyme,0,,,,rel0
,5.1.99.7,Enzyme,1,,,,rel0
,3.5.2.3,Enzyme,1.5,,,,rel0
,2.7.1.35,Enzyme,1,,,,rel0
,3.1.3.45,Enzyme,1,,,,rel0
,4.2.3.3,Enzyme,1,,,,rel0
,3.1.3.5,Enzyme,0,,,,rel0
,2.7.1.12,Enzyme,0.5,,,,rel0
,1.17.1.8,Enzyme,1,,,,rel0
,2.5.1.19,Enzyme,1,,,,rel0
,1.16.3.1,Enzyme,0,,,,rel0
,2.1.1.298,Enzyme,2,,,,rel0
,4.3.2.10,Enzyme,2,,,,rel0
,1.8.4.8,Enzyme,2.5,,,,rel0
,2.1.2.11,Enzyme,0.5,,,,rel0
,2.7.2.11,Enzyme,0.5,,,,rel0
,2.1.1.185,Enzyme,0.5,,,,rel0
,2.1.1.191,Enzyme,0.5,,,,rel0
,2.4.2.19,Enzyme,1,,,,rel0
,2.1.1.172,Enzyme,1,,,,rel0
,2.4.1.25,Enzyme,0.5,,,,rel0
,2.1.1.163,Enzyme,1,,,,rel0
,2.5.1.90,Enzyme,0.5,,,,rel0
,2.8.1.6,Enzyme,0,,,,rel0
,1.1.1.133,Enzyme,0.5,,,,rel0
,2.1.1.170,Enzyme,0.5,,,,rel0
,3.1.4.16,Enzyme,2,,,,rel0
,3.4.16.4,Enzyme,0.5,,,,rel0
,1.1.1.3,Enzyme,0,,,,rel0
,6.3.3.1,Enzyme,0,,,,rel0
,3.2.2.4,Enzyme,1,,,,rel0
,3.1.3.104,Enzyme,0,,,,rel0
