,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
3,WP_001181473.1,1.2.4.2,Escherichia coli,R4,Oxoglutarate dehydrogenase (succinyl-transferring),R01700,MRL,C00026; C15972,C00011; C16254,Km_C00011: 0.496151149; Km_C16254: 0.022980487; Km_C00026: 332.91150000000005; Km_C15972: 0.020010605,Kcat_F: 11.612947489; Kcat_R: 3.3130215229999997,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 1
4,WP_001181473.1,1.2.4.2,Escherichia coli,R5,Oxoglutarate dehydrogenase (succinyl-transferring),R00621,MRL,C00026; C00068,C00011; C05381,Km_C00011: 0.496151149; Km_C05381: 0.018866798; Km_C00026: 332.91150000000005; Km_C00068: 0.021916483,Kcat_F: 11.193305654000001; Kcat_R: 3.7177315589999997,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 22136.51865175139
6,WP_001181473.1,1.2.4.2,Escherichia coli,R7,Oxoglutarate dehydrogenase (succinyl-transferring),R01940,MRL,C00322; C15972,C00011; C06157,Km_C00011: 0.496151149; Km_C06157: 0.2160166153333333; Km_C00322: 0.131888092; Km_C15972: 0.020010605,Kcat_F: 3.4668274095; Kcat_R: 4.268352804,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 1
7,WP_001181473.1,1.2.4.2,Escherichia coli,R8,Oxoglutarate dehydrogenase (succinyl-transferring),R03316,MRL,C05381; C15972,C00068; C16254,Km_C00068: 0.021916483; Km_C16254: 0.022980487; Km_C05381: 0.018866798; Km_C15972: 0.020010605,Kcat_F: 3.771502646; Kcat_R: 2.947150775,C06157;C00527;C16254;C00003;C15972;C00004;C05381;C00011;C00026;C00036;C00010;C00322;C00068;C00080;C00091,C16254_KI: 0.022980487;C00080_KI: 0.608380556;C00011_KI: 0.496151149;C00068_KI: 0.021916483;C00527_KI: 0.052975662;C05381_KI: 0.018866798;C15972_KI: 0.020010605;C00003_KI: 0.127414092;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00004_KI: 0.035209294;C06157_KI: 0.13599052242857143;C00026_KI: 0.134084925;C00091_KI: 0.053117804;C00036_KI: 0.114508405,Keq: 1
10,WP_000003829.1,1.2.4.1,Escherichia coli,R11,Pyruvate dehydrogenase (acetyl-transferring),R01699,MRL,C00022; C15972,C00011; C16255,Km_C00011: 0.413209707; Km_C16255: 0.302165031; Km_C00022: 0.38795; Km_C15972: 0.014058916,Kcat_F: 21.3131172045; Kcat_R: 3.5914396455000004,C00022;C00003;C15972;C00004;C00011;C00024;C00010;C16255;C05125;C00068;C00080,C15972_KI: 0.014058916;C00003_KI: 0.064532936;C00004_KI: 0.029656347;C00068_KI: 0.005806968;C00011_KI: 0.413209707;C00010_KI: 0.040530939;C05125_KI: 0.008422038;C16255_KI: 0.302165031;C00024_KI: 0.036603667;C00022_KI: 0.37054348;C00080_KI: 0.307893664,Keq: 1
11,WP_000003829.1,1.2.4.1,Escherichia coli,R12,Pyruvate dehydrogenase (acetyl-transferring),R00014,MRL,C00022; C00068,C00011; C05125,Km_C00011: 0.413209707; Km_C05125: 0.008422038; Km_C00022: 0.38795; Km_C00068: 0.00158,Kcat_F: 20.805219947999998; Kcat_R: 3.9121252725,C00022;C00003;C15972;C00004;C00011;C00024;C00010;C16255;C05125;C00068;C00080,C15972_KI: 0.014058916;C00003_KI: 0.064532936;C00004_KI: 0.029656347;C00068_KI: 0.005806968;C00011_KI: 0.413209707;C00010_KI: 0.040530939;C05125_KI: 0.008422038;C16255_KI: 0.302165031;C00024_KI: 0.036603667;C00022_KI: 0.37054348;C00080_KI: 0.307893664,Keq: 42428.37004698428
13,WP_000003829.1,1.2.4.1,Escherichia coli,R14,Pyruvate dehydrogenase (acetyl-transferring),R03270,MRL,C05125; C15972,C00068; C16255,Km_C00068: 0.00158; Km_C16255: 0.302165031; Km_C05125: 0.008422038; Km_C15972: 0.014058916,Kcat_F: 3.9213992214999998; Kcat_R: 3.092816338,C00022;C00003;C15972;C00004;C00011;C00024;C00010;C16255;C05125;C00068;C00080,C15972_KI: 0.014058916;C00003_KI: 0.064532936;C00004_KI: 0.029656347;C00068_KI: 0.005806968;C00011_KI: 0.413209707;C00010_KI: 0.040530939;C05125_KI: 0.008422038;C16255_KI: 0.302165031;C00024_KI: 0.036603667;C00022_KI: 0.37054348;C00080_KI: 0.307893664,Keq: 1
14,WP_000102485.1,1.8.1.4,Escherichia coli,R15,Dihydrolipoyl dehydrogenase,R08550,MRL,C00003; C16832,C00004; C00080; C16237,Km_C00004: 0.021393653; Km_C00080: 0.225048855; Km_C16237: 0.063766681; Km_C00003: 0.089765757; Km_C16832: 0.118229039,Kcat_F: 82.215055545; Kcat_R: 162.925253535,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278,Keq: 1
19,WP_000102485.1,1.8.1.4,Escherichia coli,R20,Dihydrolipoyl dehydrogenase,R01698,MRL,C00003; C00579,C00004; C00080; C00248,Km_C00004: 0.021393653; Km_C00080: 0.225048855; Km_C00248: 0.415237725; Km_C00003: 0.089765757; Km_C00579: 0.12833333333333335,Kcat_F: 163.37561235; Kcat_R: 280.4232664,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278,Keq: 0.5285963120718694
26,WP_000036723.1,4.2.1.11,Escherichia coli,R27,Phosphopyruvate hydratase,R04206,MRL,C03356,C00001; C04309,Km_C00001: 5.651566505; Km_C04309: 0.453891814; Km_C03356: 0.439569116,Kcat_F: 4.081638296; Kcat_R: 4.0397496175,C03356;C00451;C16487;C00013;C04309;C00001;C00158;C00988;C00742;C00631;C00009;C00074,C00631_KI: 0.84220314;C16487_KI: 2.4210281972727272;C00074_KI: 0.453958184;C00158_KI: 0.579061747;C00013_KI: 0.621494234;C00001_KI: 5.651566505;C00742_KI: 13.93714619;C04309_KI: 0.453891814;C03356_KI: 0.439569116;C00988_KI: 0.731827319;C00451_KI: 0.397851557;C00009_KI: 2.522740364,Keq: 9.405334227719045
