Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
,1.2.1.10,,R1,Acetaldehyde dehydrogenase (acetylating),R00228,MRL,C00003; C00010; C00084,C00004; C00024; C00080,Km_C00004: 0.0625; Km_C00024: 0.01; Km_C00080: 0.5695337653160095; Km_C00003: 0.1001726910471916; Km_C00010: 0.036; Km_C00084: 16.5,Kcat_F: 17.699062204864855; Kcat_R: 22.533060115395195,C00084;C00136;C00080;C00024;C01412;C00003;C00010;C00004,C01412_KI: 0.424528058618307;C00084_KI: 1.3478457927703855;C00080_KI: 0.5695337653160095;C00010_KI: 0.424528058618307;C00003_KI: 0.1001726910471916;C00024_KI: 0.0522275529801845;C00136_KI: 0.0528604909777641;C00004_KI: 0.424528058618307
,1.2.1.10,,R2,Acetaldehyde dehydrogenase (acetylating),R01172,MRL,C00003; C00010; C01412,C00004; C00080; C00136,Km_C00004: 0.0625; Km_C00080: 0.5695337653160095; Km_C00136: 0.0528604909777641; Km_C00003: 0.1001726910471916; Km_C00010: 0.036; Km_C01412: 0.16421338946819306,Kcat_F: 19.69812440972971; Kcat_R: 21.60370065585372,C00084;C00136;C00080;C00024;C01412;C00003;C00010;C00004,C01412_KI: 0.424528058618307;C00084_KI: 1.3478457927703855;C00080_KI: 0.5695337653160095;C00010_KI: 0.424528058618307;C00003_KI: 0.1001726910471916;C00024_KI: 0.0522275529801845;C00136_KI: 0.0528604909777641;C00004_KI: 0.424528058618307
,2.7.2.1,,R3,Acetate kinase,R00315,MRL,C00002; C00033,C00008; C00227,Km_C00008: 0.7128611088792484; Km_C00227: 1.3033333333333335; Km_C00002: 0.1223888844251632; Km_C00033: 0.7128611088792484,Kcat_F: 2.012772175459137; Kcat_R: 1550.0,C00163;C00033;C00002;C03444;C00008;C02876;C00227;C11592,C02876_KI: 13.849364303052425;C00033_KI: 13.849364303052425;C00008_KI: 13.849364303052425;C03444_KI: 13.849364303052425;C00227_KI: 13.849364303052425;C11592_KI: 13.849364303052425;C00002_KI: 0.1223888844251632;C00163_KI: 27.576339721679688
,2.7.2.1,,R4,Acetate kinase,R01353,MRL,C00002; C00163,C00008; C02876,Km_C00008: 13.849364303052425; Km_C02876: 13.849364303052425; Km_C00002: 0.1223888844251632; Km_C00163: 27.576339721679688,Kcat_F: 1.064379817239009; Kcat_R: 56.755120681519195,C00163;C00033;C00002;C03444;C00008;C02876;C00227;C11592,C02876_KI: 13.849364303052425;C00033_KI: 13.849364303052425;C00008_KI: 13.849364303052425;C03444_KI: 13.849364303052425;C00227_KI: 13.849364303052425;C11592_KI: 13.849364303052425;C00002_KI: 0.1223888844251632;C00163_KI: 27.576339721679688
,4.2.1.3,,R5,Aconitate hydratase,R01324,MRL,C00158,C00311,Km_C00311: 0.3395209014415741; Km_C00158: 1.6626166105270386,Kcat_F: 6.538237946593976; Kcat_R: 5.557925253897178,C00311;C00158;C00417;C00001,C00001_KI: 0.7696990569432577;C00417_KI: 0.3069596588611603;C00158_KI: 1.6626166105270386;C00311_KI: 0.3395209014415741
,4.2.1.3,,R6,Aconitate hydratase,R01325,MRL,C00158,C00001; C00417,Km_C00001: 0.8498083052635192; Km_C00417: 0.037000000000000005; Km_C00158: 1.6626166105270386,Kcat_F: 6.538237946593976; Kcat_R: 64.7433545806949,C00311;C00158;C00417;C00001,C00001_KI: 0.7696990569432577;C00417_KI: 0.3069596588611603;C00158_KI: 1.6626166105270386;C00311_KI: 0.3395209014415741
,4.2.1.3,,R7,Aconitate hydratase,R01900,MRL,C00311,C00001; C00417,Km_C00001: 0.18826045072078706; Km_C00417: 0.037000000000000005; Km_C00311: 0.3395209014415741,Kcat_F: 5.557925253897178; Kcat_R: 64.7433545806949,C00311;C00158;C00417;C00001,C00001_KI: 0.7696990569432577;C00417_KI: 0.3069596588611603;C00158_KI: 1.6626166105270386;C00311_KI: 0.3395209014415741
,2.7.4.3,,R8,Adenylate kinase,R00127,MRL,C00002; C00020,C00008,Km_C00008: 0.031631302088499; Km_C00002: 0.031631302088499; Km_C00020: 0.031631302088499,Kcat_F: 1.746433139108622; Kcat_R: 56.755120681519195,C00002;C00020;C00008;C04058;C00360;C00206,C00020_KI: 0.0517894905060529;C00206_KI: 0.0517894905060529;C04058_KI: 0.0517894905060529;C00008_KI: 0.0517894905060529;C00360_KI: 0.0719476789236068;C00002_KI: 0.031631302088499
,2.7.4.3,,R9,Adenylate kinase,R01547,MRL,C00002; C00360,C00008; C00206,Km_C00008: 0.44081565104424947; Km_C00206: 0.44081565104424947; Km_C00002: 0.031631302088499; Km_C00360: 0.85,Kcat_F: 1.2190061823111973; Kcat_R: 56.755120681519195,C00002;C00020;C00008;C04058;C00360;C00206,C00020_KI: 0.0517894905060529;C00206_KI: 0.0517894905060529;C04058_KI: 0.0517894905060529;C00008_KI: 0.0517894905060529;C00360_KI: 0.0719476789236068;C00002_KI: 0.031631302088499
,1.2.4.2,,R10,Oxoglutarate dehydrogenase (succinyl-transferring),R01700,MRL,C00026; C15972,C00011; C16254,Km_C00011: 166.46575530272725; Km_C16254: 166.46575530272725; Km_C00026: 332.91150000000005; Km_C15972: 0.0200106054544448,Kcat_F: 11.612947488791534; Kcat_R: 56.755120681519195,C00091;C00080;C00011;C00068;C06157;C00026;C05381;C00322;C00004;C00003;C00036;C00527;C00010;C15972;C16254,C15972_KI: 0.0200106054544448;C00036_KI: 0.1405416091105767;C00026_KI: 0.1340849250555038;C00011_KI: 0.1405416091105767;C00068_KI: 0.0219164825975894;C05381_KI: 0.0188667979091405;C16254_KI: 0.1405416091105767;C00010_KI: 0.1405416091105767;C00080_KI: 0.6083805561065674;C06157_KI: 0.1405416091105767;C00091_KI: 0.0531178042292594;C00322_KI: 0.1405416091105767;C00527_KI: 0.1405416091105767;C00004_KI: 0.1405416091105767;C00003_KI: 0.1274140924215316
