Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters
C01478,,Metabolite,0.001,,,
C00473,,Metabolite,0.001,,,
C00376,,Metabolite,0.001,,,
C00163,,Metabolite,0.001,,,
C00084,,Metabolite,0.0,,,
C16551,,Metabolite,0.001,,,
C03785,,Metabolite,0.001,,,
C00003,,Metabolite,0.001,,,
C06222,,Metabolite,0.001,,,
C00361,,Metabolite,0.001,,,
C00136,,Metabolite,0.0,,,
C00104,,Metabolite,0.001,,,
C00048,,Metabolite,0.0,,,
C00060,,Metabolite,0.001,,,
C00199,,Metabolite,0.5,,,
C02575,,Metabolite,0.001,,,
C20679,,Metabolite,0.001,,,
C01112,,Metabolite,0.001,,,
C00097,,Metabolite,0.001,,,
C00127,,Metabolite,0.001,,,
C06157,,Metabolite,0.001,,,
C00819,,Metabolite,0.001,,,
C00226,,Metabolite,0.001,,,
C00024,,Metabolite,0.61,,,
C00020,,Metabolite,0.001,,,
C00576,,Metabolite,0.001,,,
C00209,,Metabolite,0.001,,,
C00988,,Metabolite,0.001,,,
C01450,,Metabolite,0.001,,,
C00447,,Metabolite,0.001,,,
C02170,,Metabolite,0.001,,,
C00256,,Metabolite,3.25,,,
C01444,,Metabolite,0.001,,,
C00354,,Metabolite,15.0,,,
C16348,,Metabolite,0.001,,,
C00169,,Metabolite,0.001,,,
C06611,,Metabolite,0.001,,,
C13199,,Metabolite,0.001,,,
C00026,,Metabolite,0.44,,,
C00118,,Metabolite,0.001,,,
C00008,,Metabolite,0.001,,,
C01401,,Metabolite,0.001,,,
C03071,,Metabolite,0.001,,,
C01236,,Metabolite,0.0,,,
C00527,,Metabolite,0.001,,,
C00075,,Metabolite,0.001,,,
C00227,,Metabolite,1.1,,,
C00095,,Metabolite,0.001,,,
C00111,,Metabolite,0.37,,,
C00063,,Metabolite,0.001,,,
C00006,,Metabolite,0.0021,,,
C16433,,Metabolite,0.001,,,
C00049,,Metabolite,0.001,,,
C01097,,Metabolite,0.001,,,
C00302,,Metabolite,0.001,,,
C00161,,Metabolite,0.001,,,
C07490,,Metabolite,0.001,,,
C00946,,Metabolite,0.001,,,
C00035,,Metabolite,0.001,,,
C00322,,Metabolite,0.001,,,
C14089,,Metabolite,0.001,,,
C16596,,Metabolite,0.001,,,
C05444,,Metabolite,0.001,,,
C00114,,Metabolite,0.001,,,
C03356,,Metabolite,0.001,,,
C00059,,Metabolite,0.001,,,
C07182,,Metabolite,0.001,,,
C00080,,Metabolite,0.0001,,,
C13563,,Metabolite,0.001,,,
C00201,,Metabolite,0.001,,,
C00100,,Metabolite,0.001,,,
C16595,,Metabolite,0.001,,,
C02876,,Metabolite,0.001,,,
C00085,,Metabolite,0.001,,,
C07645,,Metabolite,0.001,,,
C02496,,Metabolite,0.001,,,
C02076,,Metabolite,0.001,,,
C05946,,Metabolite,0.001,,,
C00071,,Metabolite,0.001,,,
C00577,,Metabolite,0.001,,,
C05379,,Metabolite,0.001,,,
C01159,,Metabolite,0.001,,,
C05983,,Metabolite,0.001,,,
C01829,,Metabolite,0.001,,,
C00490,,Metabolite,0.001,,,
C00033,,Metabolite,0.001,,,
C05378,,Metabolite,0.001,,,
C00742,,Metabolite,0.001,,,
C00011,,Metabolite,0.001,,,
C05445,,Metabolite,0.001,,,
C00417,,Metabolite,0.001,,,
C00704,,Metabolite,0.001,,,
C06899,,Metabolite,0.001,,,
C12214,,Metabolite,0.001,,,
C06613,,Metabolite,0.001,,,
C01612,,Metabolite,0.001,,,
C00231,,Metabolite,0.5,,,
C00074,,Metabolite,0.18,,,
C02909,,Metabolite,0.001,,,
C04058,,Metabolite,0.001,,,
C00036,,Metabolite,0.0,,,
C00360,,Metabolite,0.001,,,
C18713,,Metabolite,0.001,,,
C00279,,Metabolite,0.0,,,
C05577,,Metabolite,0.001,,,
C00698,,Metabolite,0.001,,,
C00042,,Metabolite,7.1692,,,
C04442,,Metabolite,0.0,,,
C00286,,Metabolite,0.001,,,
C00149,,Metabolite,1.7,,,
C11215,,Metabolite,0.001,,,
C05381,,Metabolite,0.001,,,
C02287,,Metabolite,0.001,,,
C02441,,Metabolite,0.001,,,
C02426,,Metabolite,0.001,,,
C00631,,Metabolite,0.0,,,
C05382,,Metabolite,0.0,,,
C07600,,Metabolite,0.001,,,
C05993,,Metabolite,0.001,,,
C00158,,Metabolite,0.001,,,
C05576,,Metabolite,0.001,,,
C16587,,Metabolite,0.001,,,
C05167,,Metabolite,0.001,,,
C11592,,Metabolite,0.001,,,
C00065,,Metabolite,0.001,,,
C16254,,Metabolite,0.001,,,
C00206,,Metabolite,0.001,,,
C00005,,Metabolite,0.12,,,
C02086,,Metabolite,0.001,,,
C00661,,Metabolite,0.0,,,
C00197,,Metabolite,1.5,,,
C00741,,Metabolite,0.001,,,
C16586,,Metabolite,0.001,,,
C00112,,Metabolite,0.001,,,
C00399,,Metabolite,0.001,,,
C00041,,Metabolite,0.001,,,
C00009,,Metabolite,0.001,,,
C16487,,Metabolite,0.001,,,
C01094,,Metabolite,0.001,,,
C00068,,Metabolite,0.001,,,
C00768,,Metabolite,0.001,,,
C00022,,Metabolite,0.0,,,
C04284,,Metabolite,0.001,,,
C00160,,Metabolite,0.001,,,
