F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,3.583,3.6,4.027,1041,2100,100,100,100,0.443,,613,538,184,184,,1225,,61.7,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,3.702,3.879,3.951,1351,7082,100,100,100,0.249,,462,854,19,29,,1377,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,3.182,4.202,4.962,1304.07,28844.82,100,100,100,1.779,,381.01,910.23,57,99.83,,1385.63,,92.47,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,3.621,3.803,4.441,4150.96,68354.74,100,100,100,0.82,,0,866.09,0,22.63,,4156,,99.88,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,3.713,3.813,4.395,6963.26,93415.48,100,100,100,0.682,,602.72,1621.01,38.28,229.68,,7029.55,,99.06,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,3.17,4.044,4.554,11199.5,110243.64,100,100,100,0.419,,504.53,0,,,,,75.25,75.25,1.09,22964.77,,47.5,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,3.185,4.048,4.592,12652.47,110866.74,100,100,100,0.146,,0,451.32,,,,,44.66,65.65,1.05,23520.38,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.188,3.787,4.247,9829.94,119841.55,100,100,100,0.203,,0,1066.1,,,,,162.88,344.42,0.89,17171.14,,38.86,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.186,3.787,4.245,9987.73,122746.13,100,100,100,0.205,,0,1056.07,,,,,37.41,208.1,0.9,14489.87,,39.97,  ,147.0301,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.177,3.814,4.345,12584.52,122842.82,100,100,100,0.163,,0,1029.02,,,,,106.88,377.56,0.85,10634.11,,56.73,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.186,3.787,4.351,9482.85,123710.06,100,100,100,0.217,,0,0,,,,,146,369.91,0.87,15752.06,,34.83,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.183,3.794,4.242,10312.11,127554.05,100,100,100,0.206,,0,872.64,,,,,121.78,278.71,0.88,13466.02,,43.98,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.187,3.785,4.351,10840.23,131001.33,100,100,100,0.201,,0,642.44,,,,,84.38,196.69,0.97,18064.18,,36.84,  ,147.0301,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,3.185,4.038,4.607,17109.54,136108.9,100,100,100,0.309,,0,473.34,,,,,173.91,150.44,1.12,21347.99,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,3.185,4.066,4.598,14531.94,146582.19,100,100,100,0.168,,260.04,464.12,,,,,239.63,83.88,1,28362.54,,,  ,147.0234,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,3.182,4.04,4.564,18778.7,149843.56,100,100,100,0.375,,0,0,,,,,161.94,82.56,1.12,28159.78,,,  ,147.0234,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.187,3.758,5.039,8065.89,156198.29,100,100,100,0.323,,0,0,,,,,68.06,331.99,0.58,17874.04,,,  ,248.9694,,,,,,,,,,,
