,,,median,mean,sd
A,,R1,3.8932507505929514,3.8932507505929514,4.460975361883594
A,,R10,-1.321556671359076,-1.321556671359076,4.722770889380756
A,,R11,-1.321556671359076,-1.321556671359076,4.722770889380756
A,,R12,-1.321556671359076,-1.321556671359076,4.722770889380756
A,,R13,-10.065045584660465,-10.065045584660465,3.6062997835258694
A,,R14,-2.625872707165795,-2.625872707165795,5.785008285847095
A,,R15,-10.858524241053622,-10.858524241053622,6.248148064202591
A,,R16,0.9781247248539842,0.9781247248539842,7.046869577599854
A,,R17,0.9781247248539842,0.9781247248539842,7.046869577599931
A,,R18,0.9781247248539557,0.9781247248539557,7.046869577599901
A,,R19,0.9781247248539842,0.9781247248539842,7.0468695775999
A,,R2,3.8932507505929514,3.8932507505929514,4.460975361883594
A,,R20,-1.7257953785400275,-1.7257953785400275,7.305743129235946
A,,R21,-1.7257953785422728,-1.7257953785422728,7.305743129235864
A,,R22,-1.7257953785422728,-1.7257953785422728,7.30574312923583
A,,R23,-1.7257953785450297,-1.7257953785450297,7.305743129235918
A,,R24,0.9781247248569684,0.9781247248569684,7.046869577599854
A,,R25,0.97812472485694,0.97812472485694,7.046869577599854
A,,R26,0.9781247248560305,0.9781247248560305,7.046869577599936
A,,R27,0.9781247248544105,0.9781247248544105,7.046869577599918
A,,R3,3.8932507505929514,3.8932507505929514,4.460975361883594
A,,R4,3.8932507505929514,3.8932507505929514,4.460975361883594
A,,R5,-1.0654827259612603,-1.0654827259612603,4.767905982744768
A,,R6,-1.0654827259612603,-1.0654827259612603,4.767905982744768
A,,R7,-1.0654827259612603,-1.0654827259612603,4.767905982744768
A,,R8,-1.0654827259612603,-1.0654827259612603,4.767905982744768
A,,R9,-1.321556671359076,-1.321556671359076,4.722770889380756
R,,,0.008314,0.008314,0.0
T,,,300.0,300.0,0.0
c,ADP,,0.00036317095294984063,0.014202781654441672,0.5552565471771477
c,ATP,,0.002587406698199246,0.10118753189724197,3.95591799871606
