Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters
WP_001307570.1,4.2.1.3,Enzyme,47.5
WP_000263098.1,2.7.7.6,Enzyme,49
WP_001181473.1,1.2.4.2,Enzyme,46.5
WP_000653944.1,2.7.7.6,Enzyme,43.5
WP_000153502.1,1.2.1.12,Enzyme,40
WP_000003829.1,1.2.4.1,Enzyme,31
WP_001198386.1,5.2.1.8,Enzyme,37
WP_001126376.1,6.3.5.5,Enzyme,33.5
WP_000102485.1,1.8.1.4,Enzyme,32.5
WP_001048602.1,6.2.1.5,Enzyme,34
WP_000111269.1,2.7.2.3,Enzyme,25
WP_000047185.1,6.1.1.7,Enzyme,26.5
WP_000036723.1,4.2.1.11,Enzyme,25.5
WP_000098614.1,2.2.1.1,Enzyme,27.5
WP_000963518.1,2.3.1.12,Enzyme,26
WP_000024939.1,1.1.1.86,Enzyme,25
WP_000034402.1,2.5.1.47,Enzyme,25
WP_001295272.1,1.1.1.37,Enzyme,21
WP_001162094.1,2.7.7.6,Enzyme,25
WP_000130189.1,2.2.1.2,Enzyme,23
WP_001260712.1,6.1.1.15,Enzyme,21
WP_000052796.1,1.11.1.26,Enzyme,24.5
WP_001286879.1,6.1.1.5,Enzyme,22.5
WP_000069410.1,2.7.9.2,Enzyme,18
WP_000099823.1,2.3.1.61,Enzyme,21.5
WP_001265681.1,4.1.1.49,Enzyme,20.5
WP_000919159.1,2.1.2.1,Enzyme,15.5
WP_000066639.1,4.2.1.2,Enzyme,16.5
WP_000838261.1,5.2.1.8,Enzyme,18
WP_000672380.1,6.1.1.20,Enzyme,21.5
WP_000785834.1,2.3.3.16,Enzyme,14.5
WP_000025458.1,6.2.1.5,Enzyme,20.5
WP_000069437.1,4.3.1.1,Enzyme,18
WP_001295373.1,2.8.1.7,Enzyme,22
WP_000043460.1,1.1.1.44,Enzyme,15
WP_000462687.1,2.6.1.1,Enzyme,22.5
WP_000886683.1,6.1.1.11,Enzyme,15.5
WP_000527955.1,6.3.4.4,Enzyme,20
WP_000506490.1,1.3.1.9,Enzyme,20
WP_012767778.1,1.11.1.21,Enzyme,13
WP_001258678.1,6.1.1.-,Enzyme,15.5
WP_001157886.1,6.1.1.4,Enzyme,15.5
WP_000136788.1,2.7.1.30,Enzyme,21
WP_001005579.1,4.1.1.31,Enzyme,8.5
WP_001291772.1,6.1.1.14,Enzyme,14.5
