Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species
Dna-directed rna polymerase,2.7.7.6,Enzyme,17.35029935,,,,Escherichia coli
Peptidylprolyl isomerase,5.2.1.8,Enzyme,17.89820354,,,,Escherichia coli
Carbamoyl-phosphate synthase (glutamine-hydrolysing),6.3.5.5,Enzyme,16.98502989,,,,Escherichia coli
Alanine-trna ligase,6.1.1.7,Enzyme,15.88922151,,,,Escherichia coli
Proline-trna ligase,6.1.1.15,Enzyme,14.6107784,,,,Escherichia coli
,1.11.1.26,Enzyme,11.32335326,,,,
Isoleucine-trna ligase,6.1.1.5,Enzyme,13.51497002,,,,Escherichia coli
Phenylalanine-trna ligase,6.1.1.20,Enzyme,12.23652691,,,,Escherichia coli
Aspartate ammonia-lyase,4.3.1.1,Enzyme,11.87125745,,,,Escherichia coli
Cysteine desulfurase,2.8.1.7,Enzyme,12.41916164,,,,Escherichia coli
Serine-trna ligase,6.1.1.11,Enzyme,9.1317365,,,,Escherichia coli
Adenylosuccinate synthase,6.3.4.4,Enzyme,9.67964069,,,,Escherichia coli
,6.1.1.-,Enzyme,9.31437123,,,,
Leucine-trna ligase,6.1.1.4,Enzyme,10.04491015,,,,Escherichia coli
Glycerol kinase,2.7.1.30,Enzyme,9.49700596,,,,Escherichia coli
Glycine-trna ligase,6.1.1.14,Enzyme,9.1317365,,,,Escherichia coli
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate n-succinyltransferase",2.3.1.117,Enzyme,9.1317365,,,,Escherichia coli
Phosphoenolpyruvate-protein phosphotransferase,2.7.3.9,Enzyme,7.67065866,,,,Escherichia coli
,7.1.2.2,Enzyme,9.1317365,,,,
Adenylate kinase,2.7.4.3,Enzyme,8.40119758,,,,Escherichia coli
,3.4.25.2,Enzyme,7.67065866,,,,
Ctp synthase (glutamine hydrolysing),6.3.4.2,Enzyme,8.94910177,,,,Escherichia coli
Glutamine-fructose-6-phosphate transaminase (isomerizing),2.6.1.16,Enzyme,8.21856285,,,,Escherichia coli
Glutamate-trna ligase,6.1.1.17,Enzyme,6.57485028,,,,Escherichia coli
Cytosol nonspecific dipeptidase,3.4.13.18,Enzyme,7.85329339,,,,Escherichia coli
,5.4.2.11,Enzyme,7.48802393,,,,
Alpha-galactosidase,3.2.1.22,Enzyme,5.66167663,,,,Escherichia coli
Valine-trna ligase,6.1.1.9,Enzyme,6.02694609,,,,Escherichia coli
Imp dehydrogenase,1.1.1.205,Enzyme,6.57485028,,,,Escherichia coli
Threonine-trna ligase,6.1.1.3,Enzyme,7.85329339,,,,Escherichia coli
,7.4.2.1,Enzyme,5.29640717,,,,
,7.5.2.1,Enzyme,7.48802393,,,,
Asparagine-trna ligase,6.1.1.22,Enzyme,6.57485028,,,,Escherichia coli
Histidine-trna ligase,6.1.1.21,Enzyme,8.03592812,,,,Escherichia coli
Methionine-trna ligase,6.1.1.10,Enzyme,5.4790419,,,,Escherichia coli
Biotin carboxylase,6.3.4.14,Enzyme,8.21856285,,,,Escherichia coli
,7.4.2.-,Enzyme,5.66167663,,,,
Tyrosine-trna ligase,6.1.1.1,Enzyme,7.3053892,,,,Escherichia coli
,1.11.1.-,Enzyme,7.3053892,,,,
Nad(p)+ transhydrogenase (si-specific),1.6.1.1,Enzyme,4.74850298,,,,Escherichia coli
Gmp synthase (glutamine-hydrolysing),6.3.5.2,Enzyme,5.66167663,,,,Escherichia coli
"Alpha,alpha-phosphotrehalase",3.2.1.93,Enzyme,5.66167663,,,,Escherichia coli
,3.4.24.70,Enzyme,7.67065866,,,,
Lysine-trna ligase,6.1.1.6,Enzyme,3.10479041,,,,Escherichia coli
Nucleoside-diphosphate kinase,2.7.4.6,Enzyme,5.29640717,,,,Escherichia coli
Superoxide dismutase,1.15.1.1,Enzyme,5.4790419,,,,Escherichia coli
Argininosuccinate lyase,4.3.2.1,Enzyme,6.39221555,,,,Escherichia coli
,2.7.1.199,Enzyme,4.74850298,,,,
Polyribonucleotide nucleotidyltransferase,2.7.7.8,Enzyme,6.02694609,,,,Escherichia coli
Membrane alanyl aminopeptidase,3.4.11.2,Enzyme,5.66167663,,,,Escherichia coli
Thioredoxin-disulfide reductase,1.8.1.9,Enzyme,6.94011974,,,,Escherichia coli
3-deoxy-8-phosphooctulonate synthase,2.5.1.55,Enzyme,4.20059879,,,,Escherichia coli
Argininosuccinate synthase,6.3.4.5,Enzyme,5.11377244,,,,Escherichia coli
Glutamine-trna ligase,6.1.1.18,Enzyme,5.66167663,,,,Escherichia coli
"Glutamate-1-semialdehyde 2,1-aminomutase",5.4.3.8,Enzyme,5.84431136,,,,Escherichia coli
,7.1.1.-,Enzyme,4.74850298,,,,
Purine-nucleoside phosphorylase,2.4.2.1,Enzyme,5.29640717,,,,Escherichia coli
"6,7-dimethyl-8-ribityllumazine synthase",2.5.1.78,Enzyme,5.4790419,,,,Escherichia coli
Adp-glyceromanno-heptose 6-epimerase,5.1.3.20,Enzyme,5.66167663,,,,Escherichia coli
,3.4.13.9,Enzyme,4.93113771,,,,
Arginine-trna ligase,6.1.1.19,Enzyme,6.02694609,,,,Escherichia coli
"6,7-dihydropteridine reductase",1.5.1.34,Enzyme,2.55688622,,,,Escherichia coli
,1.16.3.2,Enzyme,3.83532933,,,,
D-sedoheptulose 7-phosphate isomerase,5.3.1.28,Enzyme,4.01796406,,,,Escherichia coli
Inorganic diphosphatase,3.6.1.1,Enzyme,4.74850298,,,,Escherichia coli
,5.6.2.2,Enzyme,6.75748501,,,,
Galactitol-1-phosphate 5-dehydrogenase,1.1.1.251,Enzyme,3.83532933,,,,Escherichia coli
Uridine phosphorylase,2.4.2.3,Enzyme,3.28742514,,,,Escherichia coli
,3.4.21.92,Enzyme,3.47005987,,,,
,4.3.3.7,Enzyme,4.74850298,,,,
Pepb aminopeptidase,3.4.11.23,Enzyme,3.47005987,,,,Escherichia coli
Tryptophan-trna ligase,6.1.1.2,Enzyme,3.83532933,,,,Escherichia coli
Nad+ synthase,6.3.1.5,Enzyme,4.20059879,,,,Escherichia coli
,3.4.21.107,Enzyme,3.6526946,,,,
D-alanine-d-alanine ligase,6.3.2.4,Enzyme,3.6526946,,,,Escherichia coli
,3.4.11.18,Enzyme,3.10479041,,,,
,3.1.13.1,Enzyme,3.6526946,,,,
Dna-directed dna polymerase,2.7.7.7,Enzyme,3.83532933,,,,Escherichia coli
Phosphoglucosamine mutase,5.4.2.10,Enzyme,3.6526946,,,,Escherichia coli
(e)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),1.17.7.1,Enzyme,2.92215568,,,,Escherichia coli
Arginine decarboxylase,4.1.1.19,Enzyme,3.47005987,,,,Escherichia coli
Udp-4-amino-4-deoxy-l-arabinose aminotransferase,2.6.1.87,Enzyme,2.73952095,,,,Escherichia coli
,4.2.1.-,Enzyme,2.55688622,,,,
L-fucose isomerase,5.3.1.25,Enzyme,2.37425149,,,,Escherichia coli
Cysteine-trna ligase,6.1.1.16,Enzyme,2.92215568,,,,Escherichia coli
Adenylosuccinate lyase,4.3.2.2,Enzyme,5.11377244,,,,Escherichia coli
Porphobilinogen synthase,4.2.1.24,Enzyme,3.6526946,,,,Escherichia coli
,1.2.1.-,Enzyme,3.28742514,,,,
Inositol-phosphate phosphatase,3.1.3.25,Enzyme,5.66167663,,,,Escherichia coli
,5.1.3.-,Enzyme,2.37425149,,,,
,2.8.4.3,Enzyme,3.28742514,,,,
"Dtdp-glucose 4,6-dehydratase",4.2.1.46,Enzyme,3.28742514,,,,Escherichia coli
