Accession Number,Conc,EC,
WP_000437375.1,0.00310479,,RNA polymerase sigma factor RpoD
WP_012767773.1,0.014610778,,
WP_001031057.1,0.008401198,,Transcription termination/antitermination protein NusA
WP_001287516.1,0.002739521,,Transcription termination/antitermination protein NusG
WP_001155227.1,0.002374251,,RNA polymerase-binding transcription factor DksA
WP_001148001.1,0.002556886,,Transcription elongation factor GreA
WP_000907234.1,0.001643713,,Probable transcriptional regulatory protein YebC
WP_000131702.1,0.001095808,,Ferric uptake regulation protein
WP_000242755.1,0.001278443,,cAMP-activated global transcriptional regulator CRP
WP_000857361.1,0.001278443,,ABC transporter substrate-binding protein
WP_000190982.1,0.000913174,,HTH-type transcriptional repressor PurR
WP_001703864.1,0.000913174,,Proline dehydrogenase
WP_000980709.1,0.000730539,,
WP_000532923.1,0.000730539,,YebC/PmpR family DNA-binding transcriptional regulator
WP_000462905.1,0.000547904,,DNA-binding protein Fis
WP_001117011.1,0.000547904,,RNA polymerase-associated protein RapA
WP_000378442.1,0.000365269,,Transcriptional repressor MprA
WP_001157756.1,0.000913174,,two-component system response regulator OmpR
WP_001265481.1,0.000913174,,Transcriptional regulatory protein PhoP
WP_000697915.1,0.000730539,,
WP_000140327.1,0.031413174,,Small ribosomal subunit protein bS1
WP_000246882.1,0.014245509,,Small ribosomal subunit protein uS2
WP_000529945.1,0.013149701,,Small ribosomal subunit protein uS3
WP_000940120.1,0.014062874,,30S ribosomal protein S5
WP_000135224.1,0.011323353,,30S ribosomal protein S4
WP_001138043.1,0.010958084,,30S ribosomal protein S7
WP_001029684.1,0.008766467,,30S ribosomal protein S11
WP_000246815.1,0.007853293,,30S ribosomal protein S12
WP_000090775.1,0.007670659,,30S ribosomal protein S13
WP_001138117.1,0.007853293,,30S ribosomal protein S19
WP_001181004.1,0.005661677,,30S ribosomal protein S10
WP_001216675.1,0.004383234,,
WP_000829818.1,0.005113772,,Small ribosomal subunit protein uS9
WP_001144069.1,0.003835329,,Small ribosomal subunit protein bS21
WP_000059466.1,0.00347006,,Small ribosomal subunit protein uS15
WP_000256450.1,0.002739521,,30S ribosomal protein S16
WP_001274021.1,0.002739521,,Small ribosomal subunit protein bS20
WP_000062611.1,0.002556886,,Small ribosomal subunit protein uS8
WP_000135199.1,0.002739521,,Small ribosomal subunit protein bS18
WP_001118930.1,0.002739521,,Small ribosomal subunit protein uS14
WP_000130100.1,0.002922156,,Small ribosomal subunit protein uS17
WP_001295344.1,0.000182635,,Ribosomal protein S12 methylthiotransferase accessory factor YcaO
WP_000301864.1,0.014245509,,Large ribosomal subunit protein uL2
WP_001216368.1,0.011140719,,Large ribosomal subunit protein bL17
WP_001196062.1,0.011323353,,Large ribosomal subunit protein bL9
WP_001096200.1,0.011140719,,Large ribosomal subunit protein uL5
WP_000091945.1,0.011688623,,Large ribosomal subunit protein uL6
WP_001096684.1,0.010958084,,Large ribosomal subunit protein uL1
WP_000729185.1,0.010227545,,Large ribosomal subunit protein uL24
WP_000579833.1,0.008583832,,Large ribosomal subunit protein uL3
WP_000028878.1,0.007488024,,Large ribosomal subunit protein bL12
WP_000091955.1,0.007670659,,Large ribosomal subunit protein bL28
WP_000065253.1,0.007670659,,Large ribosomal subunit protein bL19
WP_000494183.1,0.007122754,,Large ribosomal subunit protein bL25
WP_001207201.1,0.007122754,,Large ribosomal subunit protein uL10
WP_000847559.1,0.006757485,,Large ribosomal subunit protein uL13
WP_000617544.1,0.007122754,,Large ribosomal subunit protein uL23
WP_000447529.1,0.00694012,,Large ribosomal subunit protein uL22
WP_000424395.1,0.005479042,,Large ribosomal subunit protein uL4
WP_001238917.1,0.006026946,,Large ribosomal subunit protein uL15
WP_000613955.1,0.005296407,,Large ribosomal subunit protein uL14
WP_001085926.1,0.004931138,,Large ribosomal subunit protein uL11
WP_000358960.1,0.002922156,,Large ribosomal subunit protein uL18
WP_000271401.1,0.003835329,,Large ribosomal subunit protein bL21
WP_001140433.1,0.004017964,,Large ribosomal subunit protein uL30
WP_000644741.1,0.003652695,,Large ribosomal subunit protein uL29
WP_000124850.1,0.004383234,,Large ribosomal subunit protein bL20
WP_000290727.1,0.00310479,,Large ribosomal subunit protein bL32
WP_000941212.1,0.002374251,,Large ribosomal subunit protein uL16
WP_001051798.1,0.002922156,,Large ribosomal subunit protein bL33
WP_000940595.1,0.002739521,,Large ribosomal subunit protein bL27
WP_000710769.1,0.002008982,,Large ribosomal subunit protein bL31
WP_000133044.1,0.016802395,,Translation initiation factor IF-2
WP_001700733.1,0.004383234,,Translation initiation factor IF-3
WP_001040187.1,0.002008982,,Translation initiation factor IF-1
WP_000124700.1,0.033239521,,Elongation factor G
WP_000818114.1,0.015706587,,Elongation factor Ts
WP_000257278.1,0.002008982,,Elongation factor P
WP_001136827.1,0.000913174,,Elongation factor P-like protein
WP_000175940.1,0.000913174,,Peptide chain release factor 3
WP_000804726.1,0.000365269,,Peptide chain release factor 1
WP_000622418.1,0.004383234,,Ribosome-recycling factor
WP_000178456.1,0.002739521,,Ribosome-associated inhibitor A
WP_001040205.1,0.001095808,,Ribosome-binding factor A
WP_001176599.1,0.000730539,,Ribosome hibernation promoting factor
WP_001300397.1,0.000730539,,Ribosome maturation factor RimP
WP_001161664.1,0.000730539,,Ribosomal silencing factor RsfS
WP_001054420.1,0.000365269,,RNA-binding protein YhbY
WP_000043335.1,0.000365269,,Ribosome maturation factor RimM
