Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters
WP_000031784.1,-,Enzyme,63.5,,,
WP_000124700.1,-,Enzyme,64.5,,,
Aconitate hydratase,4.2.1.3,Enzyme,47.5,,,
WP_000729117.1,-,Enzyme,57.0,,,
WP_000140327.1,-,Enzyme,53.5,,,
WP_000516135.1,-,Enzyme,52.5,,,
Dna-directed rna polymerase,2.7.7.6,Enzyme,49.0,,,
Oxoglutarate dehydrogenase (succinyl-transferring),1.2.4.2,Enzyme,46.5,,,
Dna-directed rna polymerase,2.7.7.6,Enzyme,43.5,,,
Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),1.2.1.12,Enzyme,40.0,,,
Pyruvate dehydrogenase (acetyl-transferring),1.2.4.1,Enzyme,31.0,,,
Peptidylprolyl isomerase,5.2.1.8,Enzyme,37.0,,,
Carbamoyl-phosphate synthase (glutamine-hydrolysing),6.3.5.5,Enzyme,33.5,,,
Dihydrolipoyl dehydrogenase,1.8.1.4,Enzyme,32.5,,,
Succinate-coa ligase (adp-forming),6.2.1.5,Enzyme,34.0,,,
WP_000444487.1,-,Enzyme,28.0,,,
WP_012767773.1,-,Enzyme,28.0,,,
Phosphoglycerate kinase,2.7.2.3,Enzyme,25.0,,,
WP_000133044.1,-,Enzyme,27.0,,,
WP_000818114.1,-,Enzyme,27.5,,,
WP_001235102.1,-,Enzyme,28.0,,,
Alanine-trna ligase,6.1.1.7,Enzyme,26.5,,,
Phosphopyruvate hydratase,4.2.1.11,Enzyme,25.5,,,
Transketolase,2.2.1.1,Enzyme,27.5,,,
WP_000301864.1,-,Enzyme,27.0,,,
WP_000091945.1,-,Enzyme,24.0,,,
Dihydrolipoyllysine-residue acetyltransferase,2.3.1.12,Enzyme,26.0,,,
Ketol-acid reductoisomerase (nadp+),1.1.1.86,Enzyme,25.0,,,
WP_000678201.1,-,Enzyme,28.0,,,
Cysteine synthase,2.5.1.47,Enzyme,25.0,,,
Malate dehydrogenase,1.1.1.37,Enzyme,21.0,,,
WP_000246882.1,-,Enzyme,24.5,,,
WP_001196062.1,-,Enzyme,21.0,,,
Dna-directed rna polymerase,2.7.7.6,Enzyme,25.0,,,
Transaldolase,2.2.1.2,Enzyme,23.0,,,
Proline-trna ligase,6.1.1.15,Enzyme,21.0,,,
WP_000052796.1,1.11.1.26,Enzyme,24.5,,,
WP_000135224.1,-,Enzyme,26.0,,,
Isoleucine-trna ligase,6.1.1.5,Enzyme,22.5,,,
WP_000529945.1,-,Enzyme,17.5,,,
"Pyruvate, water dikinase",2.7.9.2,Enzyme,18.0,,,
WP_001096200.1,-,Enzyme,21.0,,,
WP_001138043.1,-,Enzyme,19.0,,,
WP_001216368.1,-,Enzyme,13.0,,,
Dihydrolipoyllysine-residue succinyltransferase,2.3.1.61,Enzyme,21.5,,,
WP_000940120.1,-,Enzyme,24.5,,,
Phosphoenolpyruvate carboxykinase (atp),4.1.1.49,Enzyme,20.5,,,
Glycine hydroxymethyltransferase,2.1.2.1,Enzyme,15.5,,,
Fumarate hydratase,4.2.1.2,Enzyme,16.5,,,
WP_001031057.1,-,Enzyme,15.5,,,
Peptidylprolyl isomerase,5.2.1.8,Enzyme,18.0,,,
WP_001096684.1,-,Enzyme,20.0,,,
Phenylalanine-trna ligase,6.1.1.20,Enzyme,21.5,,,
WP_000785834.1,2.3.3.16,Enzyme,14.5,,,
Succinate-coa ligase (adp-forming),6.2.1.5,Enzyme,20.5,,,
WP_000579833.1,-,Enzyme,20.5,,,
Aspartate ammonia-lyase,4.3.1.1,Enzyme,18.0,,,
Cysteine desulfurase,2.8.1.7,Enzyme,22.0,,,
"Phosphogluconate dehydrogenase (nadp+-dependent, decarboxylating)",1.1.1.44,Enzyme,15.0,,,
Aspartate transaminase,2.6.1.1,Enzyme,22.5,,,
Serine-trna ligase,6.1.1.11,Enzyme,15.5,,,
WP_000044679.1,-,Enzyme,16.0,,,
Adenylosuccinate synthase,6.3.4.4,Enzyme,20.0,,,
Enoyl-[acyl-carrier-protein] reductase (nadh),1.3.1.9,Enzyme,20.0,,,
Catalase-peroxidase,1.11.1.21,Enzyme,13.0,,,
WP_001258678.1,6.1.1.-,Enzyme,15.5,,,
Leucine-trna ligase,6.1.1.4,Enzyme,15.5,,,
Glycerol kinase,2.7.1.30,Enzyme,21.0,,,
Phosphoenolpyruvate carboxylase,4.1.1.31,Enzyme,8.5,,,
Glycine-trna ligase,6.1.1.14,Enzyme,14.5,,,
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate n-succinyltransferase",2.3.1.117,Enzyme,15.0,,,
Phosphoenolpyruvate-protein phosphotransferase,2.7.3.9,Enzyme,17.5,,,
Glycine dehydrogenase (aminomethyl-transferring),1.4.4.2,Enzyme,13.0,,,
WP_000190506.1,7.1.2.2,Enzyme,16.5,,,
Fructose-bisphosphate aldolase,4.1.2.13,Enzyme,15.5,,,
Adenylate kinase,2.7.4.3,Enzyme,19.0,,,
WP_001293341.1,3.4.25.2,Enzyme,11.5,,,
Ctp synthase (glutamine hydrolysing),6.3.4.2,Enzyme,14.0,,,
Glutamine-fructose-6-phosphate transaminase (isomerizing),2.6.1.16,Enzyme,15.5,,,
Methionine adenosyltransferase,2.5.1.6,Enzyme,16.0,,,
WP_000729185.1,-,Enzyme,10.5,,,
WP_001176745.1,7.1.2.2,Enzyme,13.0,,,
Glutamate-trna ligase,6.1.1.17,Enzyme,14.5,,,
WP_000570668.1,-,Enzyme,10.5,,,
Cytosol nonspecific dipeptidase,3.4.13.18,Enzyme,15.0,,,
WP_001029684.1,-,Enzyme,11.5,,,
Pyruvate kinase,2.7.1.40,Enzyme,15.5,,,
Phosphate acetyltransferase,2.3.1.8,Enzyme,13.5,,,
WP_001207201.1,-,Enzyme,16.5,,,
WP_001026276.1,-,Enzyme,14.0,,,
WP_000090775.1,-,Enzyme,17.0,,,
WP_001295305.1,5.4.2.11,Enzyme,16.5,,,
Alpha-galactosidase,3.2.1.22,Enzyme,7.0,,,
Valine-trna ligase,6.1.1.9,Enzyme,10.5,,,
WP_000494183.1,-,Enzyme,14.5,,,
Imp dehydrogenase,1.1.1.205,Enzyme,11.0,,,
Pyruvate kinase,2.7.1.40,Enzyme,13.0,,,
WP_000028878.1,-,Enzyme,14.0,,,
WP_000091955.1,-,Enzyme,14.0,,,
Dihydroxy-acid dehydratase,4.2.1.9,Enzyme,18.5,,,
Threonine-trna ligase,6.1.1.3,Enzyme,10.5,,,
WP_000737621.1,7.4.2.1,Enzyme,9.0,,,
WP_000847559.1,-,Enzyme,12.0,,,
WP_000065253.1,-,Enzyme,15.0,,,
WP_000246815.1,-,Enzyme,7.0,,,
Phenylalanine-trna ligase,6.1.1.20,Enzyme,9.5,,,
WP_000447529.1,-,Enzyme,14.5,,,
WP_001138117.1,-,Enzyme,14.5,,,
WP_000775540.1,-,Enzyme,14.5,,,
WP_000695387.1,7.5.2.1,Enzyme,13.0,,,
Tryptophanase,4.1.99.1,Enzyme,9.5,,,
Asparagine-trna ligase,6.1.1.22,Enzyme,10.5,,,
WP_000617544.1,-,Enzyme,2.0,,,
WP_000103754.1,-,Enzyme,11.5,,,
WP_001280776.1,-,Enzyme,11.0,,,
WP_001287378.1,-,Enzyme,9.0,,,
WP_001296310.1,-,Enzyme,9.0,,,
WP_000424395.1,-,Enzyme,12.5,,,
Histidine-trna ligase,6.1.1.21,Enzyme,11.5,,,
Methionine-trna ligase,6.1.1.10,Enzyme,10.0,,,
Biotin carboxylase,6.3.4.14,Enzyme,10.0,,,
WP_001297114.1,7.4.2.-,Enzyme,8.5,,,
Tyrosine-trna ligase,6.1.1.1,Enzyme,10.0,,,
WP_000084387.1,1.11.1.-,Enzyme,10.5,,,
WP_001181004.1,-,Enzyme,12.0,,,
Carbamoyl-phosphate synthase (glutamine-hydrolysing),6.3.5.5,Enzyme,10.0,,,
Nad(p)+ transhydrogenase (si-specific),1.6.1.1,Enzyme,8.0,,,
WP_001238917.1,-,Enzyme,12.5,,,
Beta-ketoacyl-[acyl-carrier-protein] synthase i,2.3.1.41,Enzyme,9.5,,,
Glutamine synthetase,6.3.1.2,Enzyme,7.5,,,
Gmp synthase (glutamine-hydrolysing),6.3.5.2,Enzyme,7.0,,,
"Alpha,alpha-phosphotrehalase",3.2.1.93,Enzyme,6.5,,,
WP_001216675.1,-,Enzyme,8.5,,,
WP_001295214.1,3.4.24.70,Enzyme,8.0,,,
Lysine-trna ligase,6.1.1.6,Enzyme,14.0,,,
Nucleoside-diphosphate kinase,2.7.4.6,Enzyme,10.0,,,
WP_000829818.1,-,Enzyme,10.5,,,
Superoxide dismutase,1.15.1.1,Enzyme,9.0,,,
WP_000613955.1,-,Enzyme,7.5,,,
WP_000046749.1,-,Enzyme,9.5,,,
Malate dehydrogenase (oxaloacetate-decarboxylating) (nadp+),1.1.1.40,Enzyme,15.5,,,
WP_001138904.1,-,Enzyme,5.5,,,
Argininosuccinate lyase,4.3.2.1,Enzyme,6.5,,,
Acetate-coa ligase,6.2.1.1,Enzyme,9.0,,,
Ribose-phosphate diphosphokinase,2.7.6.1,Enzyme,9.0,,,
WP_001085926.1,-,Enzyme,9.0,,,
WP_000522247.1,2.7.1.199,Enzyme,8.0,,,
WP_001062678.1,-,Enzyme,7.5,,,
Triose-phosphate isomerase,5.3.1.1,Enzyme,6.5,,,
Polyribonucleotide nucleotidyltransferase,2.7.7.8,Enzyme,4.5,,,
Membrane alanyl aminopeptidase,3.4.11.2,Enzyme,9.5,,,
WP_000622418.1,-,Enzyme,6.0,,,
Thioredoxin-disulfide reductase,1.8.1.9,Enzyme,9.0,,,
3-deoxy-8-phosphooctulonate synthase,2.5.1.55,Enzyme,9.0,,,
Argininosuccinate synthase,6.3.4.5,Enzyme,10.5,,,
"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",5.4.2.2,Enzyme,7.5,,,
WP_000271401.1,-,Enzyme,13.0,,,
WP_000841001.1,-,Enzyme,7.5,,,
Glutamine-trna ligase,6.1.1.18,Enzyme,6.5,,,
Peptidylprolyl isomerase,5.2.1.8,Enzyme,4.5,,,
WP_000487600.1,-,Enzyme,6.5,,,
WP_000756569.1,-,Enzyme,6.0,,,
WP_000843866.1,7.4.2.1,Enzyme,6.5,,,
WP_001700733.1,-,Enzyme,7.5,,,
WP_000257293.1,-,Enzyme,8.5,,,
Glycine c-acetyltransferase,2.3.1.29,Enzyme,9.0,,,
WP_001140433.1,-,Enzyme,7.5,,,
Phosphoserine transaminase,2.6.1.52,Enzyme,10.0,,,
"Glutamate-1-semialdehyde 2,1-aminomutase",5.4.3.8,Enzyme,7.5,,,
WP_012767746.1,7.1.1.-,Enzyme,3.0,,,
Branched-chain-amino-acid transaminase,2.6.1.42,Enzyme,7.0,,,
Aminomethyltransferase,2.1.2.10,Enzyme,7.0,,,
Acetate kinase,2.7.2.1,Enzyme,7.5,,,
WP_000055746.1,-,Enzyme,5.0,,,
Purine-nucleoside phosphorylase,2.4.2.1,Enzyme,7.0,,,
"6,7-dimethyl-8-ribityllumazine synthase",2.5.1.78,Enzyme,5.5,,,
Adp-glyceromanno-heptose 6-epimerase,5.1.3.20,Enzyme,7.0,,,
WP_001144069.1,-,Enzyme,9.5,,,
WP_000444561.1,3.4.13.9,Enzyme,8.0,,,
WP_000301720.1,-,Enzyme,8.0,,,
WP_000431370.1,-,Enzyme,9.0,,,
WP_000651599.1,-,Enzyme,8.0,,,
WP_000290224.1,-,Enzyme,11.0,,,
WP_000887629.1,-,Enzyme,9.5,,,
WP_001044513.1,-,Enzyme,8.0,,,
WP_000124850.1,-,Enzyme,10.0,,,
Superoxide dismutase,1.15.1.1,Enzyme,5.0,,,
WP_000358960.1,-,Enzyme,7.0,,,
Arginine-trna ligase,6.1.1.19,Enzyme,8.5,,,
"6,7-dihydropteridine reductase",1.5.1.34,Enzyme,7.0,,,
WP_000917208.1,1.16.3.2,Enzyme,5.5,,,
WP_000644741.1,-,Enzyme,7.5,,,
D-sedoheptulose 7-phosphate isomerase,5.3.1.28,Enzyme,5.0,,,
Inorganic diphosphatase,3.6.1.1,Enzyme,8.5,,,
WP_001018040.1,-,Enzyme,7.0,,,
[acyl-carrier-protein] s-malonyltransferase,2.3.1.39,Enzyme,4.0,,,
WP_000426124.1,-,Enzyme,4.5,,,
WP_000800457.1,-,Enzyme,6.0,,,
L-threonine 3-dehydrogenase,1.1.1.103,Enzyme,5.5,,,
WP_001075164.1,-,Enzyme,5.5,,,
WP_000619389.1,-,Enzyme,4.5,,,
Lysine-trna ligase,6.1.1.6,Enzyme,9.5,,,
WP_001287516.1,-,Enzyme,4.5,,,
WP_001300573.1,-,Enzyme,6.0,,,
WP_001216521.1,-,Enzyme,2.5,,,
WP_000072067.1,5.6.2.2,Enzyme,4.5,,,
Galactitol-1-phosphate 5-dehydrogenase,1.1.1.251,Enzyme,5.0,,,
Uridine phosphorylase,2.4.2.3,Enzyme,5.0,,,
3-hydroxyacyl-[acyl-carrier-protein] dehydratase,4.2.1.59,Enzyme,6.0,,,
WP_000122253.1,3.4.21.92,Enzyme,5.0,,,
WP_000758956.1,-,Enzyme,6.0,,,
WP_001296623.1,-,Enzyme,3.0,,,
WP_001274021.1,-,Enzyme,6.5,,,
WP_001295469.1,4.3.3.7,Enzyme,5.0,,,
WP_001135574.1,-,Enzyme,4.5,,,
Peptidylprolyl isomerase,5.2.1.8,Enzyme,4.5,,,
WP_000059466.1,-,Enzyme,0.5,,,
Pepb aminopeptidase,3.4.11.23,Enzyme,5.5,,,
WP_000351315.1,-,Enzyme,4.5,,,
S-ribosylhomocysteine lyase,4.4.1.21,Enzyme,3.5,,,
WP_001118930.1,-,Enzyme,4.5,,,
WP_000256450.1,-,Enzyme,7.0,,,
WP_000135199.1,-,Enzyme,6.0,,,
WP_000130305.1,3.4.21.92,Enzyme,7.0,,,
Beta-ketoacyl-[acyl-carrier-protein] synthase iii,2.3.1.180,Enzyme,4.5,,,
Tryptophan-trna ligase,6.1.1.2,Enzyme,5.5,,,
Nad+ synthase,6.3.1.5,Enzyme,4.0,,,
WP_000753946.1,3.4.21.107,Enzyme,7.5,,,
D-alanine-d-alanine ligase,6.3.2.4,Enzyme,6.0,,,
WP_001018194.1,3.4.11.18,Enzyme,3.5,,,
WP_000484965.1,3.1.13.1,Enzyme,6.0,,,
WP_000108172.1,-,Enzyme,5.5,,,
WP_000062611.1,-,Enzyme,6.0,,,
WP_000178456.1,-,Enzyme,4.0,,,
WP_000331707.1,-,Enzyme,7.0,,,
WP_001148001.1,-,Enzyme,7.5,,,
Aspartate-semialdehyde dehydrogenase,1.2.1.11,Enzyme,4.0,,,
WP_000941212.1,-,Enzyme,5.5,,,
Dna-directed dna polymerase,2.7.7.7,Enzyme,2.0,,,
WP_000940595.1,-,Enzyme,5.0,,,
Shikimate kinase,2.7.1.71,Enzyme,5.5,,,
WP_001155227.1,-,Enzyme,4.5,,,
WP_000130100.1,-,Enzyme,2.5,,,
Phosphoglucosamine mutase,5.4.2.10,Enzyme,6.0,,,
(e)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),1.17.7.1,Enzyme,4.5,,,
Phosphoribosylaminoimidazolecarboxamide formyltransferase,2.1.2.3,Enzyme,2.5,,,
WP_000290727.1,-,Enzyme,6.0,,,
Peptidylprolyl isomerase,5.2.1.8,Enzyme,5.0,,,
WP_000718995.1,-,Enzyme,2.5,,,
Arginine decarboxylase,4.1.1.19,Enzyme,3.5,,,
WP_000047539.1,-,Enzyme,3.5,,,
2-dehydro-3-deoxy-phosphogluconate aldolase,4.1.2.14,Enzyme,3.0,,,
WP_001051798.1,-,Enzyme,3.5,,,
WP_000091700.1,-,Enzyme,2.5,,,
WP_000437375.1,-,Enzyme,4.5,,,
Ribose-5-phosphate isomerase,5.3.1.6,Enzyme,4.5,,,
WP_000886062.1,-,Enzyme,6.5,,,
Glycine-trna ligase,6.1.1.14,Enzyme,3.0,,,
WP_000003377.1,-,Enzyme,2.0,,,
Udp-4-amino-4-deoxy-l-arabinose aminotransferase,2.6.1.87,Enzyme,4.0,,,
WP_001300411.1,4.2.1.-,Enzyme,2.0,,,
WP_072094260.1,-,Enzyme,4.5,,,
L-fucose isomerase,5.3.1.25,Enzyme,4.0,,,
Cysteine-trna ligase,6.1.1.16,Enzyme,5.0,,,
6-phosphofructokinase,2.7.1.11,Enzyme,3.0,,,
Adenylosuccinate lyase,4.3.2.2,Enzyme,4.5,,,
WP_001343212.1,-,Enzyme,5.0,,,
Formyltetrahydrofolate deformylase,3.5.1.10,Enzyme,3.5,,,
WP_000710769.1,-,Enzyme,4.0,,,
Porphobilinogen synthase,4.2.1.24,Enzyme,1.5,,,
WP_000115936.1,1.2.1.-,Enzyme,6.5,,,
Dna-directed rna polymerase,2.7.7.6,Enzyme,4.0,,,
WP_000505877.1,-,Enzyme,4.0,,,
Inositol-phosphate phosphatase,3.1.3.25,Enzyme,3.5,,,
Isocitrate lyase,4.1.3.1,Enzyme,5.5,,,
Succinate dehydrogenase,1.3.5.1,Enzyme,4.5,,,
Peptidylprolyl isomerase,5.2.1.8,Enzyme,3.0,,,
WP_001353848.1,5.1.3.-,Enzyme,1.5,,,
WP_000162740.1,2.8.4.3,Enzyme,3.5,,,
WP_001051883.1,-,Enzyme,3.5,,,
Phosphopentomutase,5.4.2.7,Enzyme,5.0,,,
"Dtdp-glucose 4,6-dehydratase",4.2.1.46,Enzyme,2.0,,,
3-oxoacyl-[acyl-carrier-protein] reductase,1.1.1.100,Enzyme,2.5,,,
Acetylornithine deacetylase,3.5.1.16,Enzyme,1.0,,,
WP_001040187.1,-,Enzyme,6.0,,,
WP_001229265.1,-,Enzyme,3.5,,,
Udp-glucuronic acid dehydrogenase (udp-4-keto-hexauronic acid,1.1.1.305,Enzyme,3.0,,,
WP_000175940.1,-,Enzyme,2.5,,,
