WP_000031784.1,96.5
WP_000789986.1,2.5
WP_000591795.1,3
WP_000853753.1,6.5
WP_000034372.1,20
WP_001216325.1,8
WP_000048667.1,54
WP_000111269.1,45.5
WP_000942344.1,1
WP_001295305.1,23.5
WP_000036723.1,37.5
WP_000069410.1,30
WP_001295403.1,18
WP_000091148.1,19
WP_000003829.1,51
WP_000785834.1,29.5
WP_001307570.1,89
WP_000099534.1,1.5
WP_000444487.1,47.5
WP_001181473.1,78.5
WP_000025458.1,28
WP_001048602.1,50
WP_000775540.1,20
WP_001235264.1,9
WP_000066639.1,25.5
WP_001295272.1,34.5
WP_000301720.1,12.5
WP_000043460.1,25
WP_000816280.1,2.5
WP_000189743.1,5.5
WP_000098614.1,41
WP_000130189.1,32.5
WP_001008532.1,5
WP_000103754.1,18.5
WP_000506490.1,27
WP_000044679.1,18.5
WP_000288146.1,9.5
WP_000191372.1,6.5
WP_000965952.1,1.5
WP_000817178.1,15.5
WP_000438708.1,0.5
WP_000758422.1,3
WP_000055746.1,6.5
WP_000118404.1,4.5
WP_000884639.1,16.5
WP_000354622.1,2.5
WP_000227927.1,9
WP_000081903.1,5
WP_001320171.1,10
