Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
,1.5.1.34,Escherichia coli,R104,"6,7-dihydropteridine reductase",R01793,MRL,C00004; C00080; C00268,C00003; C00272,Km_C00003: 0.148144722; Km_C00272: 0.094508976; Km_C00004: 0.091; Km_C00080: 0.940049827; Km_C00268: 0.525,Kcat_F: 0.967572235; Kcat_R: 1.6511773555,C00004;C00005;C00006;C00080;C00272;C00268;C00003;C05650;C05649,C05650_KI: 0.147017151;C00006_KI: 0.102823012;C00268_KI: 0.12505959;C00003_KI: 0.148144722;C00272_KI: 0.094508976;C00080_KI: 0.940049827;C00004_KI: 0.101567693;C05649_KI: 0.159457043;C00005_KI: 0.097939037
,1.5.1.34,Escherichia coli,R105,"6,7-dihydropteridine reductase",R07355,MRL,C00006; C05650,C00005; C00080; C05649,Km_C00005: 1.32; Km_C00080: 0.940049827; Km_C05649: 0.159457043; Km_C00006: 0.102823012; Km_C05650: 0.147017151,Kcat_F: 2.1838376435; Kcat_R: 0.9793622415000001,C00004;C00005;C00006;C00080;C00272;C00268;C00003;C05650;C05649,C05650_KI: 0.147017151;C00006_KI: 0.102823012;C00268_KI: 0.12505959;C00003_KI: 0.148144722;C00272_KI: 0.094508976;C00080_KI: 0.940049827;C00004_KI: 0.101567693;C05649_KI: 0.159457043;C00005_KI: 0.097939037
,1.5.1.34,Escherichia coli,R106,"6,7-dihydropteridine reductase",R01794,MRL,C00005; C00080; C00268,C00006; C00272,Km_C00006: 0.102823012; Km_C00272: 0.094508976; Km_C00005: 1.32; Km_C00080: 0.940049827; Km_C00268: 0.525,Kcat_F: 0.9485895325; Kcat_R: 1.6073819475,C00004;C00005;C00006;C00080;C00272;C00268;C00003;C05650;C05649,C05650_KI: 0.147017151;C00006_KI: 0.102823012;C00268_KI: 0.12505959;C00003_KI: 0.148144722;C00272_KI: 0.094508976;C00080_KI: 0.940049827;C00004_KI: 0.101567693;C05649_KI: 0.159457043;C00005_KI: 0.097939037
,5.3.1.28,Escherichia coli,R107,D-sedoheptulose 7-phosphate isomerase,R05645,MRL,C05382,C07836,Km_C07836: 0.899409652; Km_C05382: 1.2,Kcat_F: 0.44; Kcat_R: 17.21868603,C07836;C05382,C07836_KI: 0.899409652;C05382_KI: 0.158092499
,3.6.1.1,Escherichia coli,R108,Inorganic diphosphatase,R00004,MRL,C00001; C00013,C00009,Km_C00009: 0.349954635; Km_C00001: 0.391432196; Km_C00013: 0.15695,Kcat_F: 77.346064171; Kcat_R: 3.341416999,C00001;C00009;C00013,C00001_KI: 0.391432196;C00013_KI: 0.080407746;C00009_KI: 0.349954635
,1.1.1.251,Escherichia coli,R109,Galactitol-1-phosphate 5-dehydrogenase,R05147,MRL,C00003; C06311,C00004; C00080; C06312,Km_C00004: 0.044706002; Km_C00080: 2.378057241; Km_C06312: 0.390606076; Km_C00003: 0.098221257; Km_C06311: 0.138867036,Kcat_F: 2.5876312025; Kcat_R: 1.6005881345,C00004;C06311;C06312;C00080;C01097;C00003,C00003_KI: 0.098221257;C00080_KI: 2.378057241;C00004_KI: 0.044706002;C06311_KI: 0.138867036;C06312_KI: 0.390606076;C01097_KI: 0.390606076
,1.1.1.251,Escherichia coli,R110,Galactitol-1-phosphate 5-dehydrogenase,R05571,MRL,C00003; C06311,C00004; C00080; C01097,Km_C00004: 0.044706002; Km_C00080: 2.378057241; Km_C01097: 0.390606076; Km_C00003: 0.098221257; Km_C06311: 0.138867036,Kcat_F: 2.5876312025; Kcat_R: 1.6005881345,C00004;C06311;C06312;C00080;C01097;C00003,C00003_KI: 0.098221257;C00080_KI: 2.378057241;C00004_KI: 0.044706002;C06311_KI: 0.138867036;C06312_KI: 0.390606076;C01097_KI: 0.390606076
,2.4.2.3,Escherichia coli,R111,Uridine phosphorylase,R01876,MRL,C00009; C00299,C00106; C00620,Km_C00106: 0.203466654; Km_C00620: 0.627589643; Km_C00009: 1.061166644; Km_C00299: 0.91,Kcat_F: 2.234894958; Kcat_R: 4.266786095,C00620;C00106;C07649;C00299;C00009;C16633,C00620_KI: 0.627589643;C07649_KI: 0.148749098;C00009_KI: 1.061166644;C00299_KI: 0.412329316;C00106_KI: 0.203466654;C16633_KI: 0.49066027100000004
,2.4.2.3,Escherichia coli,R112,Uridine phosphorylase,R08229,MRL,C00620; C07649,C00009; C16633,Km_C00009: 1.061166644; Km_C16633: 0.6125017949999999; Km_C00620: 0.627589643; Km_C07649: 0.148749098,Kcat_F: 3.8584962115; Kcat_R: 0.231571476,C00620;C00106;C07649;C00299;C00009;C16633,C00620_KI: 0.627589643;C07649_KI: 0.148749098;C00009_KI: 1.061166644;C00299_KI: 0.412329316;C00106_KI: 0.203466654;C16633_KI: 0.49066027100000004
,3.4.11.23,Escherichia coli,R113,Pepb aminopeptidase,R00899,MRL,C00001; C01419,C00037; C00097,Km_C00037: 0.841594934; Km_C00097: 0.224477679; Km_C00001: 0.535009861; Km_C01419: 0.62540859,Kcat_F: 14.256129824499999; Kcat_R: 0.64209177,C00097;C05726;C05729;C00001;C00037;C01419,C00037_KI: 0.841594934;C05726_KI: 0.5566227659999999;C01419_KI: 0.62540859;C00001_KI: 0.535009861;C05729_KI: 0.5566227659999999;C00097_KI: 0.224477679
,3.4.11.23,Escherichia coli,R114,Pepb aminopeptidase,R04951,MRL,C00001; C05729,C00037; C05726,Km_C00037: 0.841594934; Km_C05726: 0.6883023975; Km_C00001: 0.535009861; Km_C05729: 0.6883023975,Kcat_F: 1.492046689; Kcat_R: 1.02711346,C00097;C05726;C05729;C00001;C00037;C01419,C00037_KI: 0.841594934;C05726_KI: 0.5566227659999999;C01419_KI: 0.62540859;C00001_KI: 0.535009861;C05729_KI: 0.5566227659999999;C00097_KI: 0.224477679
,6.1.1.2,Escherichia coli,R115,Tryptophan-trna ligase,R03664,MRL,C00002; C00078; C01652,C00013; C00020; C03512,Km_C00013: 0.136781156; Km_C00020: 0.058931675; Km_C03512: 0.0578675728; Km_C00002: 0.063056268; Km_C00078: 0.029948765; Km_C01652: 0.00062,Kcat_F: 33.58905062666667; Kcat_R: 29.134439466,C00020;C03512;C01652;C00013;C00078;C00002,C00013_KI: 0.136781156;C01652_KI: 0.072179466;C00078_KI: 0.029948765;C00002_KI: 0.063056268;C03512_KI: 0.072179466;C00020_KI: 0.058931675
,6.3.1.5,Escherichia coli,R116,Nad+ synthase,R00189,MRL,C00002; C00014; C00857,C00003; C00013; C00020,Km_C00003: 0.113475792; Km_C00013: 0.135959432; Km_C00020: 0.046021298; Km_C00002: 0.050445296; Km_C00014: 0.113690525; Km_C00857: 0.11,Kcat_F: 1.867045793; Kcat_R: 1.9377583366666666,C00020;C00014;C00003;C00013;C00857;C00002,C00013_KI: 0.135959432;C00002_KI: 0.050445296;C00003_KI: 0.113475792;C00857_KI: 0.084738508;C00014_KI: 0.113690525;C00020_KI: 0.046021298
,6.3.2.4,Escherichia coli,R117,D-alanine-d-alanine ligase,R01150,MRL,C00002; C00133,C00008; C00009; C00993,Km_C00008: 0.057315212; Km_C00009: 1.10325253; Km_C00993: 0.355595797; Km_C00002: 0.066742077; Km_C00133: 15.0,Kcat_F: 6.896903352000001; Kcat_R: 4.654659829333333,C00993;C00133;C00009;C00008;C00002,C00008_KI: 0.057315212;C00009_KI: 1.10325253;C00993_KI: 0.355595797;C00002_KI: 0.066742077;C00133_KI: 0.670099854
,2.7.7.7,Escherichia coli,R118,Dna-directed dna polymerase,R00375,MRL,C00131,C00013; C00039,Km_C00013: 0.108610287; Km_C00039: 0.0574201435; Km_C00131: 0.00623,Kcat_F: 1.16; Kcat_R: 0.000582467,C00039;C00131;C00286;C00458;C00459;C00013,C00131_KI: 0.037639029;C00459_KI: 0.044189151;C00039_KI: 0.0522786772;C00013_KI: 0.108610287;C00286_KI: 0.034297802;C00458_KI: 0.036657117
,2.7.7.7,Escherichia coli,R119,Dna-directed dna polymerase,R00376,MRL,C00286,C00013; C00039,Km_C00013: 0.108610287; Km_C00039: 0.0599051435; Km_C00286: 0.0112,Kcat_F: 1.64; Kcat_R: 0.000582467,C00039;C00131;C00286;C00458;C00459;C00013,C00131_KI: 0.037639029;C00459_KI: 0.044189151;C00039_KI: 0.0522786772;C00013_KI: 0.108610287;C00286_KI: 0.034297802;C00458_KI: 0.036657117
,2.7.7.7,Escherichia coli,R120,Dna-directed dna polymerase,R00377,MRL,C00458,C00013; C00039,Km_C00013: 0.108610287; Km_C00039: 0.0558051435; Km_C00458: 0.003,Kcat_F: 1.75; Kcat_R: 0.000582467,C00039;C00131;C00286;C00458;C00459;C00013,C00131_KI: 0.037639029;C00459_KI: 0.044189151;C00039_KI: 0.0522786772;C00013_KI: 0.108610287;C00286_KI: 0.034297802;C00458_KI: 0.036657117
,2.7.7.7,Escherichia coli,R121,Dna-directed dna polymerase,R00378,MRL,C00459,C00013; C00039,Km_C00013: 0.108610287; Km_C00039: 0.0544801435; Km_C00459: 0.00035,Kcat_F: 6.57; Kcat_R: 0.000582467,C00039;C00131;C00286;C00458;C00459;C00013,C00131_KI: 0.037639029;C00459_KI: 0.044189151;C00039_KI: 0.0522786772;C00013_KI: 0.108610287;C00286_KI: 0.034297802;C00458_KI: 0.036657117
,5.4.2.10,Escherichia coli,R122,Phosphoglucosamine mutase,R02060,MRL,C06156,C00352,Km_C00352: 0.05; Km_C06156: 0.08,Kcat_F: 3.592965661; Kcat_R: 5.16,C06156;C00352,C06156_KI: 0.110812664;C00352_KI: 0.11278379
,1.17.7.1,Escherichia coli,R123,(e)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),R08689,MRL,C00138; C11453,C00001; C00139; C11811,Km_C00001: 8.255581856; Km_C00139: 8.255581856; Km_C11811: 8.255581856; Km_C00138: 8.255581856; Km_C11453: 8.255581856,Kcat_F: 19.78221183941891; Kcat_R: 3.301098181,C11453;C11811;C00001;C00138;C00139,C00001_KI: 8.255581856;C11811_KI: 8.255581856;C00138_KI: 8.255581856;C11453_KI: 8.255581856;C00139_KI: 8.255581856
,4.1.1.19,Escherichia coli,R124,Arginine decarboxylase,R00566,MRL,C00062,C00011; C00179,Km_C00011: 0.851434171; Km_C00179: 0.144256741; Km_C00062: 0.136584967,Kcat_F: 5.400355746; Kcat_R: 2.111095902,C00011;C00062;C00179,C00011_KI: 0.851434171;C00179_KI: 0.144256741;C00062_KI: 0.136584967
,2.6.1.87,Escherichia coli,R125,Udp-4-amino-4-deoxy-l-arabinose aminotransferase,R07659,MRL,C00025; C16155,C00026; C16153,Km_C00026: 0.283997685; Km_C16153: 0.545942113; Km_C00025: 0.807886541; Km_C16155: 0.545942113,Kcat_F: 11.49438924; Kcat_R: 18.25842888,C16153;C00026;C00025;C16155,C00025_KI: 0.807886541;C00026_KI: 0.283997685;C16153_KI: 0.545942113;C16155_KI: 0.545942113
,5.3.1.25,Escherichia coli,R126,L-fucose isomerase,R03163,MRL,C01019,C01721,Km_C01721: 2.823926687; Km_C01019: 43.5,Kcat_F: 9.570708615; Kcat_R: 10.75815745,C01019;C01721,C01019_KI: 35.92871094;C01721_KI: 2.823926687
