Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
,2.7.7.6,Escherichia coli,R1,Dna-directed rna polymerase,R00444,MRL,C00201,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.09928064; Km_C00201: 0.09928064,Kcat_F: 19.78221183941891; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,2.7.7.6,Escherichia coli,R2,Dna-directed rna polymerase,R00435,MRL,C00002,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.066696228; Km_C00002: 0.034111816,Kcat_F: 0.09186744; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,2.7.7.6,Escherichia coli,R3,Dna-directed rna polymerase,R00441,MRL,C00044,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07523936; Km_C00044: 0.05119808,Kcat_F: 0.057736397; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,2.7.7.6,Escherichia coli,R4,Dna-directed rna polymerase,R00442,MRL,C00063,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07650222400000001; Km_C00063: 0.053723808,Kcat_F: 0.057857452; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,2.7.7.6,Escherichia coli,R5,Dna-directed rna polymerase,R00443,MRL,C00075,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.104753889; Km_C00075: 0.110227138,Kcat_F: 0.049924272; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,5.2.1.8,Escherichia coli,R6,Peptidylprolyl isomerase,R04273,MRL,C03798,C03633,Km_C03633: 11.421359055528603; Km_C03798: 11.421359055528603,Kcat_F: 19.78221183941891; Kcat_R: 19.78221183941891,C03633;C03798,C03633_KI: 0.9685395753562895;C03798_KI: 0.9685395753562895
,6.3.5.5,Escherichia coli,R7,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00256,MRL,C00001; C00064,C00014; C00025,Km_C00014: 2.051671028; Km_C00025: 0.995128751; Km_C00001: 0.812423646; Km_C00064: 0.4618738,Kcat_F: 5.6714782029999995; Kcat_R: 9.3347956045,C00064;C00009;C00014;C00001;C00288;C00169;C00025;C00008;C00002,C00008_KI: 0.055322122;C00014_KI: 2.051671028;C00001_KI: 0.812423646;C00025_KI: 0.995128751;C00002_KI: 0.067236871;C00009_KI: 1.365577102;C00169_KI: 0.34583804;C00288_KI: 1.407387018;C00064_KI: 0.4618738
,6.3.5.5,Escherichia coli,R8,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00575,MRL,C00001; C00002; C00064; C00288,C00008; C00009; C00025; C00169,Km_C00008: 0.055322122; Km_C00009: 1.365577102; Km_C00025: 0.995128751; Km_C00169: 0.34583804; Km_C00001: 0.812423646; Km_C00002: 0.067236871; Km_C00064: 0.4618738; Km_C00288: 1.4766666666666666,Kcat_F: 4.78089486975; Kcat_R: 5.17748061675,C00064;C00009;C00014;C00001;C00288;C00169;C00025;C00008;C00002,C00008_KI: 0.055322122;C00014_KI: 2.051671028;C00001_KI: 0.812423646;C00025_KI: 0.995128751;C00002_KI: 0.067236871;C00009_KI: 1.365577102;C00169_KI: 0.34583804;C00288_KI: 1.407387018;C00064_KI: 0.4618738
,6.3.5.5,Escherichia coli,R9,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R07641,MRL,C00002; C00014; C00288,C00008; C00009; C00169,Km_C00008: 0.055322122; Km_C00009: 1.365577102; Km_C00169: 0.34583804; Km_C00002: 0.067236871; Km_C00014: 2.051671028; Km_C00288: 1.4766666666666666,Kcat_F: 6.907218447666666; Kcat_R: 4.993787842666666,C00064;C00009;C00014;C00001;C00288;C00169;C00025;C00008;C00002,C00008_KI: 0.055322122;C00014_KI: 2.051671028;C00001_KI: 0.812423646;C00025_KI: 0.995128751;C00002_KI: 0.067236871;C00009_KI: 1.365577102;C00169_KI: 0.34583804;C00288_KI: 1.407387018;C00064_KI: 0.4618738
,6.1.1.7,Escherichia coli,R10,Alanine-trna ligase,R03038,MRL,C00002; C00041; C01635,C00013; C00020; C00886,Km_C00013: 0.072413243; Km_C00020: 0.022911394; Km_C00886: 0.0706742942; Km_C00002: 0.025530493; Km_C00041: 0.230766341; Km_C01635: 0.0017499999999999998,Kcat_F: 1.517066951; Kcat_R: 1.5705551025000002,C00020;C00886;C01635;C00013;C00041;C00002,C00013_KI: 0.072413243;C00002_KI: 0.025530493;C00041_KI: 0.230766341;C01635_KI: 0.08790536774999999;C00020_KI: 0.022911394;C00886_KI: 0.08790536774999999
,6.1.1.15,Escherichia coli,R11,Proline-trna ligase,R03661,MRL,C00002; C00148; C01649,C00013; C00020; C02702,Km_C00013: 0.223068416; Km_C00020: 0.065034218; Km_C02702: 0.1107568676; Km_C00002: 0.089042157; Km_C00148: 0.162499547; Km_C01649: 0.01414,Kcat_F: 1.194108566; Kcat_R: 0.9549211915,C01649;C00020;C02702;C00013;C00002;C00148,C01649_KI: 0.13491108449999997;C00013_KI: 0.223068416;C00148_KI: 0.162499547;C00020_KI: 0.065034218;C02702_KI: 0.13491108449999997;C00002_KI: 0.089042157
,6.1.1.5,Escherichia coli,R12,Isoleucine-trna ligase,R03656,MRL,C00002; C00407; C01644,C00013; C00020; C03127,Km_C00013: 0.039245732; Km_C00020: 0.01626548; Km_C03127: 0.0243369574; Km_C00002: 0.018193932; Km_C00407: 0.045879643; Km_C01644: 0.0021,Kcat_F: 10.395218501666667; Kcat_R: 12.780535491,C01644;C00020;C03127;C00407;C00013;C00002,C00013_KI: 0.039245732;C03127_KI: 0.02989619675;C01644_KI: 0.02989619675;C00020_KI: 0.01626548;C00407_KI: 0.045879643;C00002_KI: 0.018193932
,6.1.1.20,Escherichia coli,R13,Phenylalanine-trna ligase,R03660,MRL,C00002; C00079; C01648,C00013; C00020; C03511,Km_C00013: 0.110224701; Km_C00020: 0.021949925; Km_C03511: 0.0410671938; Km_C00002: 0.027728623; Km_C00079: 0.04255772; Km_C01648: 0.002875,Kcat_F: 8.636955886666668; Kcat_R: 5.9763161745,C03511;C00020;C01648;C00079;C00013;C00002,C03511_KI: 0.05061524225;C00013_KI: 0.110224701;C00002_KI: 0.027728623;C00079_KI: 0.04255772;C00020_KI: 0.021949925;C01648_KI: 0.05061524225
,4.3.1.1,Escherichia coli,R14,Aspartate ammonia-lyase,R00490,MRL,C00049,C00014; C00122,Km_C00014: 12.20387268; Km_C00122: 0.828558326; Km_C00049: 1.195170283,Kcat_F: 138.3736857; Kcat_R: 10064.76036055,C00014;C00049;C00122,C00014_KI: 12.20387268;C00122_KI: 0.828558326;C00049_KI: 1.195170283
,2.8.1.7,Escherichia coli,R15,Cysteine desulfurase,R07460,MRL,C00097; C15811,C00041; C15812,Km_C00041: 1.053504229; Km_C15812: 0.010528521; Km_C00097: 0.083457783; Km_C15811: 0.017585905,Kcat_F: 30.001426185; Kcat_R: 36.793572795,C00097;C00041;C15812;C15811,C00097_KI: 0.083457783;C15812_KI: 0.010528521;C15811_KI: 0.017585905;C00041_KI: 1.053504229
,6.1.1.11,Escherichia coli,R16,Serine-trna ligase,R03662,MRL,C00002; C00065; C01650,C00013; C00020; C02553,Km_C00013: 0.00750173; Km_C00020: 0.001468161; Km_C02553: 0.0055857832000000005; Km_C00002: 0.001039614; Km_C00065: 0.017359411; Km_C01650: 0.00056,Kcat_F: 41.893331030000006; Kcat_R: 49.234747755,C01650;C00020;C00013;C02553;C16636;C06481;C00065;C00002,C16636_KI: 0.003100337;C06481_KI: 0.006093850600000001;C00002_KI: 0.001039614;C01650_KI: 0.006093850600000001;C00013_KI: 0.00750173;C02553_KI: 0.006093850600000001;C00020_KI: 0.001468161;C00065_KI: 0.017359411
,6.1.1.11,Escherichia coli,R17,Serine-trna ligase,R08218,MRL,C00002; C00065; C16636,C00013; C00020; C06481,Km_C00013: 0.00750173; Km_C00020: 0.001468161; Km_C06481: 0.006093850600000001; Km_C00002: 0.001039614; Km_C00065: 0.017359411; Km_C16636: 0.003100337,Kcat_F: 32.97343452666667; Kcat_R: 49.234747755,C01650;C00020;C00013;C02553;C16636;C06481;C00065;C00002,C16636_KI: 0.003100337;C06481_KI: 0.006093850600000001;C00002_KI: 0.001039614;C01650_KI: 0.006093850600000001;C00013_KI: 0.00750173;C02553_KI: 0.006093850600000001;C00020_KI: 0.001468161;C00065_KI: 0.017359411
,6.3.4.4,Escherichia coli,R18,Adenylosuccinate synthase,R01135,MRL,C00044; C00049; C00130,C00009; C00035; C03794,Km_C00009: 0.567217767; Km_C00035: 0.023658674; Km_C03794: 0.02244579; Km_C00044: 0.0605; Km_C00049: 0.175086781; Km_C00130: 0.04234285714285714,Kcat_F: 1.4762922436666666; Kcat_R: 1.039879132,C00049;C00130;C00009;C03794;C00035;C00044,C03794_KI: 0.02244579;C00130_KI: 0.024890967;C00009_KI: 0.567217767;C00044_KI: 0.031184724;C00035_KI: 0.023658674;C00049_KI: 0.175086781
,6.1.1.4,Escherichia coli,R19,Leucine-trna ligase,R03657,MRL,C00002; C00123; C01645,C00013; C00020; C02047,Km_C00013: 0.073589049; Km_C00020: 0.062845066; Km_C02047: 1650.00105; Km_C00002: 0.054785959; Km_C00123: 0.017924244; Km_C01645: 0.00016,Kcat_F: 1.797755422; Kcat_R: 4.024251986666667,C00020;C00002;C02047;C00013;C01645;C00123,C00002_KI: 0.054785959;C02047_KI: 0.052286079500000006;C00013_KI: 0.073589049;C00123_KI: 0.017924244;C00020_KI: 0.062845066;C01645_KI: 0.052286079500000006
,2.7.1.30,Escherichia coli,R20,Glycerol kinase,R00847,MRL,C00002; C00116,C00008; C00093,Km_C00008: 0.023433018; Km_C00093: 0.146136329; Km_C00002: 0.015506073; Km_C00116: 0.106406488,Kcat_F: 5.3466165625; Kcat_R: 5.8155024715,C00093;C00008;C00116;C00002,C00116_KI: 0.106406488;C00093_KI: 0.146136329;C00002_KI: 0.015506073;C00008_KI: 0.023433018
,6.1.1.14,Escherichia coli,R21,Glycine-trna ligase,R03654,MRL,C00002; C00037; C01642,C00013; C00020; C02412,Km_C00013: 0.058370113; Km_C00020: 0.016059648; Km_C02412: 0.042143158199999996; Km_C00002: 0.017320372; Km_C00037: 0.109865658; Km_C01642: 0.0091,Kcat_F: 7.7915478485000005; Kcat_R: 6.477863011,C00020;C01642;C02412;C00037;C00013;C00002,C00002_KI: 0.017320372;C00020_KI: 0.016059648;C02412_KI: 0.05040394775;C01642_KI: 0.05040394775;C00013_KI: 0.058370113;C00037_KI: 0.109865658
,2.3.1.117,Escherichia coli,R22,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate n-succinyltransferase",R04365,MRL,C00001; C00091; C03972,C00010; C04462,Km_C00010: 0.177714095; Km_C04462: 0.304652005; Km_C00001: 2.012990713; Km_C00091: 0.015; Km_C03972: 0.517685533,Kcat_F: 35.21180224966667; Kcat_R: 47.964201055,C04462;C00010;C00001;C00091;C03972,C00091_KI: 0.133486509;C03972_KI: 0.517685533;C00010_KI: 0.177714095;C04462_KI: 0.304652005;C00001_KI: 2.012990713
,2.7.3.9,Escherichia coli,R23,Phosphoenolpyruvate-protein phosphotransferase,R02628,MRL,C00074; C00615,C00022; C04261,Km_C00022: 0.363707393; Km_C04261: 0.2768536965; Km_C00074: 0.19; Km_C00615: 0.2768536965,Kcat_F: 0.213811689; Kcat_R: 1.430127998,C00074;C00615;C00022;C04261,C00022_KI: 0.363707393;C00074_KI: 0.137160346;C04261_KI: 0.2504338695;C00615_KI: 0.2504338695
,2.7.4.3,Escherichia coli,R24,Adenylate kinase,R00127,MRL,C00002; C00020,C00008,Km_C00008: 0.087849356; Km_C00002: 0.031631302; Km_C00020: 0.076284915,Kcat_F: 2.7976281115; Kcat_R: 2.616251295,C00020;C00360;C00206;C04058;C00008;C00002,C00206_KI: 0.045697965;C00020_KI: 0.076284915;C00360_KI: 0.071947679;C04058_KI: 0.036719304;C00008_KI: 0.087849356;C00002_KI: 0.031631302
,2.7.4.3,Escherichia coli,R25,Adenylate kinase,R01547,MRL,C00002; C00360,C00008; C00206,Km_C00008: 0.087849356; Km_C00206: 0.045697965; Km_C00002: 0.031631302; Km_C00360: 0.73,Kcat_F: 1.2190061825; Kcat_R: 1.4058218715000002,C00020;C00360;C00206;C04058;C00008;C00002,C00206_KI: 0.045697965;C00020_KI: 0.076284915;C00360_KI: 0.071947679;C04058_KI: 0.036719304;C00008_KI: 0.087849356;C00002_KI: 0.031631302
,6.3.4.2,Escherichia coli,R26,Ctp synthase (glutamine hydrolysing),R00571,MRL,C00002; C00014; C00075,C00008; C00009; C00063,Km_C00008: 0.0327975; Km_C00009: 0.57172507; Km_C00063: 0.039101593; Km_C00002: 0.02550959; Km_C00014: 2.556291819; Km_C00075: 0.048999999999999995,Kcat_F: 5.34748218; Kcat_R: 1.6565584309999999,C00075;C00063;C00009;C00064;C00014;C00001;C00025;C00008;C00002,C00008_KI: 0.0327975;C00002_KI: 0.02550959;C00014_KI: 2.556291819;C00075_KI: 0.095736213;C00063_KI: 0.039101593;C00001_KI: 1.248884082;C00025_KI: 0.603838623;C00064_KI: 0.214680701;C00009_KI: 0.57172507
,6.3.4.2,Escherichia coli,R27,Ctp synthase (glutamine hydrolysing),R00573,MRL,C00001; C00002; C00064; C00075,C00008; C00009; C00025; C00063,Km_C00008: 0.0327975; Km_C00009: 0.57172507; Km_C00025: 0.603838623; Km_C00063: 0.039101593; Km_C00001: 1.248884082; Km_C00002: 0.02550959; Km_C00064: 0.214680701; Km_C00075: 0.048999999999999995,Kcat_F: 4.014383028999999; Kcat_R: 1.76495728025,C00075;C00063;C00009;C00064;C00014;C00001;C00025;C00008;C00002,C00008_KI: 0.0327975;C00002_KI: 0.02550959;C00014_KI: 2.556291819;C00075_KI: 0.095736213;C00063_KI: 0.039101593;C00001_KI: 1.248884082;C00025_KI: 0.603838623;C00064_KI: 0.214680701;C00009_KI: 0.57172507
,2.6.1.16,Escherichia coli,R28,Glutamine-fructose-6-phosphate transaminase (isomerizing),R00768,MRL,C00064; C00085,C00025; C00352,Km_C00025: 0.938281476; Km_C00352: 0.461720258; Km_C00064: 0.44344449; Km_C00085: 0.500871122,Kcat_F: 0.746059583; Kcat_R: 1.0307426915,C00352;C00085;C00064;C00025,C00064_KI: 0.44344449;C00352_KI: 0.461720258;C00025_KI: 0.938281476;C00085_KI: 0.500871122
,6.1.1.17,Escherichia coli,R29,Glutamate-trna ligase,R05578,MRL,C00002; C00025; C01641,C00013; C00020; C02987,Km_C00013: 0.216984406; Km_C00020: 0.036403723; Km_C02987: 0.0895804528; Km_C00002: 0.051829793; Km_C00025: 0.142224342; Km_C01641: 0.00046,Kcat_F: 9.4960731375; Kcat_R: 3.489937588666667,C00020;C01641;C00025;C00013;C02987;C00002,C02987_KI: 0.11186056600000001;C00025_KI: 0.142224342;C00013_KI: 0.216984406;C01641_KI: 0.11186056600000001;C00020_KI: 0.036403723;C00002_KI: 0.051829793
,3.4.13.18,Escherichia coli,R30,Cytosol nonspecific dipeptidase,R01166,MRL,C00001; C00386,C00099; C00135,Km_C00099: 0.507952392; Km_C00135: 0.302831292; Km_C00001: 0.579682529; Km_C00386: 0.199187204,Kcat_F: 2.4933262735; Kcat_R: 13.306824521,C00099;C00884;C00334;C00001;C00386;C00135,C00099_KI: 0.507952392;C00135_KI: 0.302831292;C00884_KI: 0.189986333;C00334_KI: 0.517561674;C00001_KI: 0.579682529;C00386_KI: 0.199187204
,3.4.13.18,Escherichia coli,R31,Cytosol nonspecific dipeptidase,R01992,MRL,C00001; C00884,C00135; C00334,Km_C00135: 0.302831292; Km_C00334: 0.517561674; Km_C00001: 0.579682529; Km_C00884: 0.189986333,Kcat_F: 3.7975811585; Kcat_R: 7.3229132345000005,C00099;C00884;C00334;C00001;C00386;C00135,C00099_KI: 0.507952392;C00135_KI: 0.302831292;C00884_KI: 0.189986333;C00334_KI: 0.517561674;C00001_KI: 0.579682529;C00386_KI: 0.199187204
,3.2.1.22,Escherichia coli,R32,Alpha-galactosidase,R01101,MRL,C00001; C05402,C00031; C00124,Km_C00031: 14.55188179; Km_C00124: 14.55188179; Km_C00001: 5.090140343; Km_C05402: 9.408344269,Kcat_F: 8.2433162475; Kcat_R: 8.221061924,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727
,3.2.1.22,Escherichia coli,R33,Alpha-galactosidase,R01103,MRL,C00001; C00492,C00089; C00124,Km_C00089: 11.26636791; Km_C00124: 14.55188179; Km_C00001: 5.090140343; Km_C00492: 6.633991241,Kcat_F: 14.0457002075; Kcat_R: 16.449587792000003,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727
,3.2.1.22,Escherichia coli,R34,Alpha-galactosidase,R01104,MRL,C00001; C05401,C00116; C00124,Km_C00116: 11.27495575; Km_C00124: 14.55188179; Km_C00001: 5.090140343; Km_C05401: 11.91046715,Kcat_F: 8.6583680975; Kcat_R: 7.6294844525,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727
,3.2.1.22,Escherichia coli,R35,Alpha-galactosidase,R01194,MRL,C00001; C01235,C00124; C00137,Km_C00124: 14.55188179; Km_C00137: 12.13025475; Km_C00001: 5.090140343; Km_C01235: 10.24762726,Kcat_F: 8.260548267499999; Kcat_R: 8.005526088,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727
,3.2.1.22,Escherichia coli,R36,Alpha-galactosidase,R01329,MRL,C00001; C05400,C00124; C00159,Km_C00124: 14.55188179; Km_C00159: 14.55188179; Km_C00001: 5.090140343; Km_C05400: 9.408344269,Kcat_F: 8.2433162475; Kcat_R: 8.221061924,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727
,3.2.1.22,Escherichia coli,R37,Alpha-galactosidase,R02926,MRL,C00001; C05399,C00124; C00794,Km_C00124: 14.55188179; Km_C00794: 10.86484718; Km_C00001: 5.090140343; Km_C05399: 7.178169727,Kcat_F: 6.848955463999999; Kcat_R: 7.658983285,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727
,3.2.1.22,Escherichia coli,R38,Alpha-galactosidase,R03618,MRL,C00001; C04737,C00124; C01290,Km_C00124: 14.55188179; Km_C01290: 9.821011066499999; Km_C00001: 5.090140343; Km_C04737: 9.821011066499999,Kcat_F: 4.011620685; Kcat_R: 8.221061924,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727
,3.2.1.22,Escherichia coli,R39,Alpha-galactosidase,R03634,MRL,C00001; C01613,C00124; C00492,Km_C00124: 14.55188179; Km_C00492: 6.633991241; Km_C00001: 5.090140343; Km_C01613: 6.016309738,Kcat_F: 13.893817417500001; Kcat_R: 16.150420826999998,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727
,3.2.1.22,Escherichia coli,R40,Alpha-galactosidase,R04019,MRL,C00001; C06126,C00124; C02686,Km_C00124: 14.55188179; Km_C02686: 9.821011066499999; Km_C00001: 5.090140343; Km_C06126: 9.821011066499999,Kcat_F: 4.011620685; Kcat_R: 8.221061924,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727
